dataset,feature,K,N,abs_epsilon,n_bins,coverage,recall_mean,recall_sd,lift_mean,lift_sd
pi,drift,90,109,0.009065056794469228,256,0.05078125,0.0745880126953125,0.0014831951120043091,1.468810096153846,0.02920753451331565
pi,rcoarse,90,109,0.009065056794469228,256,0.05078125,0.1420745849609375,0.0017248912032343776,2.7977764423076925,0.03396708830984622
pi,r_drift_2d,90,109,0.009065056794469228,1024,0.0498046875,0.0510284423828125,0.0010632606266104201,1.0245710784313726,0.021348605522530765
random,drift,90,109,0.009065056794469228,256,0.05078125,0.0763946533203125,0.0011708612825863406,1.5043870192307691,0.023056960641700267
random,rcoarse,90,109,0.009065056794469228,256,0.05078125,0.1412109375,0.0012228984166375188,2.7807692307692307,0.024081691896861913
random,r_drift_2d,90,109,0.009065056794469228,1024,0.0498046875,0.0530181884765625,0.0011043020838643989,1.0645220588235293,0.02217265360543416
pi,drift,109,132,0.0017404299472616458,256,0.05078125,0.088629150390625,0.0008253072628850278,1.7453125,0.016252204561428247
pi,rcoarse,109,132,0.0017404299472616458,256,0.05078125,0.1174530029296875,0.0008296123768764451,2.312920673076923,0.01633698219079775
pi,r_drift_2d,109,132,0.0017404299472616458,1024,0.0498046875,0.089190673828125,0.0015679740384881775,1.7908088235294115,0.03148245912572339
random,drift,109,132,0.0017404299472616458,256,0.05078125,0.0896697998046875,0.0008416491332368133,1.7658052884615383,0.01657401370066341
random,rcoarse,109,132,0.0017404299472616458,256,0.05078125,0.1155364990234375,0.0011755765629027156,2.275180288461539,0.023149815392545788
random,r_drift_2d,109,132,0.0017404299472616458,1024,0.0498046875,0.090643310546875,0.0019210470013168108,1.8199754901960787,0.03857161037938068
pi,drift,635,769,0.00036290705816099944,256,0.05078125,0.837078857421875,0.002152395936641356,16.48401442307692,0.0423856430600141
pi,rcoarse,635,769,0.00036290705816099944,256,0.05078125,0.059552001953125,0.0008835563564061312,1.1727163461538463,0.017399263633843812
pi,r_drift_2d,635,769,0.00036290705816099944,1024,0.0498046875,0.8032928466796875,0.0010043065575481968,16.128860294117647,0.02016490029273279
random,drift,635,769,0.00036290705816099944,256,0.05078125,0.8361297607421875,0.001680798385013604,16.46532451923077,0.033098798966422135
random,rcoarse,635,769,0.00036290705816099944,256,0.05078125,0.0615753173828125,0.001101430932432837,1.212560096153846,0.02168971682329279
random,r_drift_2d,635,769,0.00036290705816099944,1024,0.0498046875,0.8028076171875,0.0017928239518747858,16.11911764705882,0.03599709268078037
pi,drift,2649,3208,0.00028880171430500923,256,0.05078125,0.9999481201171875,5.115678288037173e-05,19.691286057692306,0.0010073951090289288
pi,rcoarse,2649,3208,0.00028880171430500923,256,0.05078125,0.0516143798828125,0.000723215093267417,1.01640625,0.014241774144342998
pi,r_drift_2d,2649,3208,0.00028880171430500923,1024,0.0498046875,0.9991455078125,0.0001385108119862087,20.061274509803923,0.002781079832821733
random,drift,2649,3208,0.00028880171430500923,256,0.05078125,0.9999298095703125,5.115678288037173e-05,19.69092548076923,0.0010073951090292467
random,rcoarse,2649,3208,0.00028880171430500923,256,0.05078125,0.053656005859375,0.0006395307825805835,1.056610576923077,0.012593836949279175
random,r_drift_2d,2649,3208,0.00028880171430500923,1024,0.0498046875,0.9988983154296875,8.680091951494075e-05,20.056311274509802,0.0017428263055547274
pi,drift,3284,3977,7.410534362861654e-05,256,0.05078125,1.0,0.0,19.69230769230769,3.552713678800501e-15
pi,rcoarse,3284,3977,7.410534362861654e-05,256,0.05078125,0.0499420166015625,0.001275273322046015,0.9834735576923077,0.02511307464952151
pi,r_drift_2d,3284,3977,7.410534362861654e-05,1024,0.0498046875,0.9786834716796875,0.0003461425273269399,19.650428921568626,0.006949998980054861
random,drift,3284,3977,7.410534362861654e-05,256,0.05078125,1.0,0.0,19.69230769230769,3.552713678800501e-15
random,rcoarse,3284,3977,7.410534362861654e-05,256,0.05078125,0.0491851806640625,0.0006126437062402453,0.9685697115384615,0.0120643683690387
random,r_drift_2d,3284,3977,7.410534362861654e-05,1024,0.0498046875,0.9786956787109375,0.0006240005250165943,19.65067401960784,0.012528951717980416
pi,drift,12501,15139,6.648568160017021e-05,256,0.05078125,1.0,0.0,19.69230769230769,3.552713678800501e-15
pi,rcoarse,12501,15139,6.648568160017021e-05,256,0.05078125,0.0515380859375,0.0011050397761767812,1.0149038461538462,0.021760783284712017
pi,r_drift_2d,12501,15139,6.648568160017021e-05,1024,0.0498046875,1.0,0.0,20.078431372549016,3.552713678800501e-15
random,drift,12501,15139,6.648568160017021e-05,256,0.05078125,1.0,0.0,19.69230769230769,3.552713678800501e-15
random,rcoarse,12501,15139,6.648568160017021e-05,256,0.05078125,0.0518707275390625,0.0007445350963096898,1.021454326923077,0.01466161420425237
random,r_drift_2d,12501,15139,6.648568160017021e-05,1024,0.0498046875,1.0,0.0,20.078431372549016,3.552713678800501e-15
pi,drift,15785,19116,7.6196592999622226e-06,256,0.05078125,1.0,0.0,19.69230769230769,3.552713678800501e-15
pi,rcoarse,15785,19116,7.6196592999622226e-06,256,0.05078125,0.0529205322265625,0.0009305059292633573,1.0421274038461539,0.018323809068570705
pi,r_drift_2d,15785,19116,7.6196592999622226e-06,1024,0.0498046875,0.91707763671875,0.0012441144907555499,18.413480392156863,0.024979867422229265
random,drift,15785,19116,7.6196592999622226e-06,256,0.05078125,1.0,0.0,19.69230769230769,3.552713678800501e-15
random,rcoarse,15785,19116,7.6196592999622226e-06,256,0.05078125,0.0528961181640625,0.0009265540796447308,1.0416466346153848,0.018245988029926993
random,r_drift_2d,15785,19116,7.6196592999622226e-06,1024,0.0498046875,0.9166351318359375,0.0012048879377503762,18.404595588235292,0.02419225976973316
