prefix_depth_k,mean_candidates,median_candidates,p90_candidates,expected_random_H_over_4k,compression_vs_H_mean
1,249996.3694,249976.0,250657.0,250000.0,4.000058090443613
2,62500.7864,62502.0,62791.0,62500.0,15.999798684133037
3,15626.1044,15633.0,15791.0,15625.0,63.995476697314274
4,3908.0578,3907.0,3993.0,3906.25,255.88157882414123
5,976.6918,976.0,1021.0,976.5625,1023.8644370721655
6,244.7092,244.0,264.0,244.140625,4086.483058258537
7,61.6622,61.0,72.0,61.03515625,16217.390881285455
8,15.9066,16.0,21.0,15.2587890625,62866.986030955704
9,4.4536,4.0,7.0,3.814697265625,224537.4528471349
10,1.5478,1.0,3.0,0.95367431640625,646078.3046905284
