Q_from,L_from,Q_to,L_to,source_sectors_total,source_sectors_sampled,target_cells_total,mean_intersect,min_intersect,max_intersect,mean_contained,min_contained,max_contained,mean_boundary,min_boundary,max_boundary,fraction_with_any_contained,fraction_exact_one_to_one
4,1,2,2,4,4,4,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,2,2,4,16,16,16,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,3,2,6,64,64,64,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,4,2,8,256,256,256,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,5,2,10,1024,1024,1024,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,6,2,12,4096,4096,4096,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,7,2,14,16384,16384,16384,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,8,2,16,65536,65536,65536,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,9,2,18,262144,262144,262144,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,10,2,20,1048576,1048576,1048576,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,11,2,22,4194304,4194304,4194304,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
4,12,2,24,16777216,16777216,16777216,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1.0
