decimal_zero_length_D,L4,offset_from_ceil,intersect_count,contained_count,boundary_count,intersect_min,intersect_max,contained_min,contained_max,ratio_4L_over_10D_log10,guarantee
1,2,0,2,1,1,0,1,0,0,0.2041199826559248,contained cells imply decimal zero-sector
1,3,1,7,6,1,0,6,0,5,0.8061799739838871,contained cells imply decimal zero-sector
1,4,2,26,25,1,0,25,0,24,1.4082399653118496,contained cells imply decimal zero-sector
1,5,3,103,102,1,0,102,0,101,2.010299956639812,contained cells imply decimal zero-sector
1,6,4,410,409,1,0,409,0,408,2.612359947967774,contained cells imply decimal zero-sector
1,7,5,1639,1638,1,0,1638,0,1637,3.2144199392957367,contained cells imply decimal zero-sector
1,8,6,6554,6553,1,0,6553,0,6552,3.816479930623699,contained cells imply decimal zero-sector
2,4,0,3,2,1,0,2,0,1,0.4082399653118496,contained cells imply decimal zero-sector
2,5,1,11,10,1,0,10,0,9,1.010299956639812,contained cells imply decimal zero-sector
2,6,2,41,40,1,0,40,0,39,1.6123599479677742,contained cells imply decimal zero-sector
2,7,3,164,163,1,0,163,0,162,2.2144199392957367,contained cells imply decimal zero-sector
2,8,4,656,655,1,0,655,0,654,2.816479930623699,contained cells imply decimal zero-sector
2,9,5,2622,2621,1,0,2621,0,2620,3.4185399219516617,contained cells imply decimal zero-sector
2,10,6,10486,10485,1,0,10485,0,10484,4.020599913279624,contained cells imply decimal zero-sector
3,5,0,2,1,1,0,1,0,0,0.010299956639812091,contained cells imply decimal zero-sector
3,6,1,5,4,1,0,4,0,3,0.6123599479677742,contained cells imply decimal zero-sector
3,7,2,17,16,1,0,16,0,15,1.2144199392957367,contained cells imply decimal zero-sector
3,8,3,66,65,1,0,65,0,64,1.8164799306236992,contained cells imply decimal zero-sector
3,9,4,263,262,1,0,262,0,261,2.4185399219516617,contained cells imply decimal zero-sector
3,10,5,1049,1048,1,0,1048,0,1047,3.020599913279624,contained cells imply decimal zero-sector
3,11,6,4195,4194,1,0,4194,0,4193,3.6226599046075867,contained cells imply decimal zero-sector
6,10,0,2,1,1,0,1,0,0,0.020599913279624182,contained cells imply decimal zero-sector
6,11,1,5,4,1,0,4,0,3,0.6226599046075867,contained cells imply decimal zero-sector
6,12,2,17,16,1,0,16,0,15,1.2247198959355483,contained cells imply decimal zero-sector
6,13,3,68,67,1,0,67,0,66,1.8267798872635108,contained cells imply decimal zero-sector
6,14,4,269,268,1,0,268,0,267,2.4288398785914733,contained cells imply decimal zero-sector
6,15,5,1074,1073,1,0,1073,0,1072,3.030899869919436,contained cells imply decimal zero-sector
6,16,6,4295,4294,1,0,4294,0,4293,3.6329598612473983,contained cells imply decimal zero-sector
10,17,0,2,1,1,0,1,0,0,0.23501985257536084,contained cells imply decimal zero-sector
10,18,1,7,6,1,0,6,0,5,0.8370798439033234,contained cells imply decimal zero-sector
10,19,2,28,27,1,0,27,0,26,1.4391398352312859,contained cells imply decimal zero-sector
10,20,3,110,109,1,0,109,0,108,2.0411998265592484,contained cells imply decimal zero-sector
10,21,4,440,439,1,0,439,0,438,2.643259817887211,contained cells imply decimal zero-sector
10,22,5,1760,1759,1,0,1759,0,1758,3.2453198092151734,contained cells imply decimal zero-sector
10,23,6,7037,7036,1,0,7036,0,7035,3.847379800543136,contained cells imply decimal zero-sector
50,84,0,4,3,1,0,3,0,2,0.5730392715488435,contained cells imply decimal zero-sector
50,85,1,15,14,1,0,14,0,13,1.175099262876806,contained cells imply decimal zero-sector
50,86,2,60,59,1,0,59,0,58,1.7771592542047685,contained cells imply decimal zero-sector
50,87,3,240,239,1,0,239,0,238,2.379219245532731,contained cells imply decimal zero-sector
50,88,4,958,957,1,0,957,0,956,2.9812792368606935,contained cells imply decimal zero-sector
50,89,5,3832,3831,1,0,3831,0,3830,3.583339228188656,contained cells imply decimal zero-sector
50,90,6,15325,15324,1,0,15324,0,15323,4.1853992195166185,contained cells imply decimal zero-sector
100,167,0,4,3,1,0,3,0,2,0.5440185517697245,contained cells imply decimal zero-sector
100,168,1,14,13,1,0,13,0,12,1.146078543097687,contained cells imply decimal zero-sector
100,169,2,56,55,1,0,55,0,54,1.7481385344256495,contained cells imply decimal zero-sector
100,170,3,224,223,1,0,223,0,222,2.350198525753612,contained cells imply decimal zero-sector
100,171,4,896,895,1,0,895,0,894,2.9522585170815745,contained cells imply decimal zero-sector
100,172,5,3584,3583,1,0,3583,0,3582,3.554318508409537,contained cells imply decimal zero-sector
100,173,6,14335,14334,1,0,14334,0,14333,4.1563784997374995,contained cells imply decimal zero-sector
1000,1661,0,2,1,1,0,1,0,0,0.021645595745553692,contained cells imply decimal zero-sector
1000,1662,1,5,4,1,0,4,0,3,0.6237055870734594,contained cells imply decimal zero-sector
1000,1663,2,17,16,1,0,16,0,15,1.2257655784014787,contained cells imply decimal zero-sector
1000,1664,3,68,67,1,0,67,0,66,1.8278255697293844,contained cells imply decimal zero-sector
1000,1665,4,270,269,1,0,269,0,268,2.4298855610574037,contained cells imply decimal zero-sector
1000,1666,5,1077,1076,1,0,1076,0,1075,3.0319455523853094,contained cells imply decimal zero-sector
1000,1667,6,4306,4305,1,0,4305,0,4304,3.6340055437133287,contained cells imply decimal zero-sector
