decimal_D,A,Lmax4,intersect_cells_total,contained_cells_total,boundary_cells_total,occupied_intersect_cells,min_m_intersect_candidate,occupied_contained_cells,min_m_contained_guaranteed_same_orbit,note
1,0,12,1677722,1677721,1,97159,4,97159,4,same phase-orbit transform only; not decimal digit positions
1,5,12,1677722,1677721,1,96941,17,96941,17,same phase-orbit transform only; not decimal digit positions
1,9,12,1677722,1677721,1,96945,23,96945,23,same phase-orbit transform only; not decimal digit positions
1,0,12,1677722,1677721,1,97159,4,97159,4,same phase-orbit transform only; not decimal digit positions
1,4,12,1677722,1677721,1,96956,35,96956,35,same phase-orbit transform only; not decimal digit positions
1,1,12,1677723,1677721,2,97029,8,97029,8,same phase-orbit transform only; not decimal digit positions
1,6,12,1677723,1677721,2,96769,9,96769,9,same phase-orbit transform only; not decimal digit positions
1,3,12,1677723,1677721,2,96689,30,96689,30,same phase-orbit transform only; not decimal digit positions
1,2,12,1677722,1677720,2,97375,1,97375,1,same phase-orbit transform only; not decimal digit positions
1,9,12,1677722,1677721,1,96945,23,96945,23,same phase-orbit transform only; not decimal digit positions
1,5,12,1677722,1677721,1,96941,17,96941,17,same phase-orbit transform only; not decimal digit positions
1,7,12,1677722,1677720,2,97044,10,97044,10,same phase-orbit transform only; not decimal digit positions
1,8,12,1677723,1677721,2,97668,2,97668,2,same phase-orbit transform only; not decimal digit positions
2,0,12,167773,167772,1,9785,295,9785,295,same phase-orbit transform only; not decimal digit positions
2,50,12,167773,167772,1,9712,189,9712,189,same phase-orbit transform only; not decimal digit positions
2,99,12,167773,167772,1,9684,92,9684,92,same phase-orbit transform only; not decimal digit positions
2,43,12,167774,167772,2,9694,222,9694,222,same phase-orbit transform only; not decimal digit positions
2,6,12,167774,167772,2,9762,5,9761,5,same phase-orbit transform only; not decimal digit positions
2,20,12,167773,167771,2,9691,1,9691,1,same phase-orbit transform only; not decimal digit positions
2,17,12,167773,167771,2,9717,8,9717,8,same phase-orbit transform only; not decimal digit positions
2,71,12,167773,167771,2,9559,36,9559,36,same phase-orbit transform only; not decimal digit positions
2,42,12,167773,167771,2,9504,35,9504,35,same phase-orbit transform only; not decimal digit positions
2,89,12,167773,167771,2,9890,16,9890,16,same phase-orbit transform only; not decimal digit positions
2,31,12,167774,167772,2,9623,42,9622,42,same phase-orbit transform only; not decimal digit positions
2,0,12,167773,167772,1,9785,295,9785,295,same phase-orbit transform only; not decimal digit positions
2,55,12,167773,167771,2,9650,98,9650,98,same phase-orbit transform only; not decimal digit positions
2,99,12,167773,167772,1,9684,92,9684,92,same phase-orbit transform only; not decimal digit positions
2,11,12,167773,167771,2,9709,53,9709,53,same phase-orbit transform only; not decimal digit positions
2,76,12,167773,167771,2,9786,82,9786,82,same phase-orbit transform only; not decimal digit positions
2,48,12,167773,167771,2,9816,39,9816,39,same phase-orbit transform only; not decimal digit positions
2,8,12,167773,167771,2,9654,32,9654,32,same phase-orbit transform only; not decimal digit positions
2,40,12,167773,167771,2,9716,74,9715,74,same phase-orbit transform only; not decimal digit positions
2,93,12,167774,167772,2,9729,231,9729,231,same phase-orbit transform only; not decimal digit positions
2,57,12,167773,167771,2,9835,17,9835,17,same phase-orbit transform only; not decimal digit positions
2,13,12,167773,167771,2,9732,59,9732,59,same phase-orbit transform only; not decimal digit positions
2,5,12,167773,167771,2,9778,27,9778,27,same phase-orbit transform only; not decimal digit positions
3,0,12,16778,16777,1,1019,970,1019,970,same phase-orbit transform only; not decimal digit positions
3,500,12,16778,16777,1,973,2355,973,2355,same phase-orbit transform only; not decimal digit positions
3,999,12,16778,16777,1,915,1453,915,1453,same phase-orbit transform only; not decimal digit positions
3,94,12,16778,16776,2,978,1186,978,1186,same phase-orbit transform only; not decimal digit positions
3,683,12,16778,16776,2,1035,285,1035,285,same phase-orbit transform only; not decimal digit positions
3,145,12,16778,16776,2,984,831,984,831,same phase-orbit transform only; not decimal digit positions
3,129,12,16779,16777,2,984,798,984,798,same phase-orbit transform only; not decimal digit positions
3,809,12,16778,16776,2,1029,508,1029,508,same phase-orbit transform only; not decimal digit positions
3,928,12,16778,16776,2,949,2895,948,2895,same phase-orbit transform only; not decimal digit positions
3,21,12,16778,16776,2,939,1108,939,1108,same phase-orbit transform only; not decimal digit positions
3,298,12,16778,16776,2,991,1575,991,1575,same phase-orbit transform only; not decimal digit positions
3,933,12,16778,16776,2,998,561,998,561,same phase-orbit transform only; not decimal digit positions
3,440,12,16778,16776,2,1001,462,1001,462,same phase-orbit transform only; not decimal digit positions
3,587,12,16779,16777,2,963,2524,963,2524,same phase-orbit transform only; not decimal digit positions
3,488,12,16778,16776,2,980,1907,980,1907,same phase-orbit transform only; not decimal digit positions
3,271,12,16778,16776,2,919,2727,919,2727,same phase-orbit transform only; not decimal digit positions
3,480,12,16778,16776,2,966,3121,966,3121,same phase-orbit transform only; not decimal digit positions
3,857,12,16778,16776,2,953,429,953,429,same phase-orbit transform only; not decimal digit positions
3,37,12,16779,16777,2,910,3129,910,3129,same phase-orbit transform only; not decimal digit positions
3,787,12,16779,16777,2,914,375,913,375,same phase-orbit transform only; not decimal digit positions
3,312,12,16778,16776,2,951,1558,951,1558,same phase-orbit transform only; not decimal digit positions
3,351,12,16779,16777,2,980,1110,980,1110,same phase-orbit transform only; not decimal digit positions
3,534,12,16778,16776,2,950,486,950,486,same phase-orbit transform only; not decimal digit positions
4,0,12,1678,1677,1,123,1497,123,1497,same phase-orbit transform only; not decimal digit positions
4,5000,12,1678,1677,1,94,9209,94,9209,same phase-orbit transform only; not decimal digit positions
4,9999,12,1678,1677,1,88,6115,88,6115,same phase-orbit transform only; not decimal digit positions
4,7912,12,1679,1677,2,111,10281,111,10281,same phase-orbit transform only; not decimal digit positions
4,3389,12,1679,1677,2,103,9752,102,9752,same phase-orbit transform only; not decimal digit positions
4,9976,12,1679,1677,2,108,12730,108,12730,same phase-orbit transform only; not decimal digit positions
4,8635,12,1678,1676,2,98,4644,98,4644,same phase-orbit transform only; not decimal digit positions
4,9253,12,1679,1677,2,92,5630,92,5630,same phase-orbit transform only; not decimal digit positions
4,5165,12,1678,1676,2,98,12690,98,12690,same phase-orbit transform only; not decimal digit positions
4,205,12,1679,1677,2,83,23881,83,23881,same phase-orbit transform only; not decimal digit positions
4,6524,12,1679,1677,2,92,2733,92,2733,same phase-orbit transform only; not decimal digit positions
4,8400,12,1679,1677,2,101,8390,101,8390,same phase-orbit transform only; not decimal digit positions
4,7116,12,1679,1677,2,116,515,116,515,same phase-orbit transform only; not decimal digit positions
4,8823,12,1679,1677,2,100,19326,100,19326,same phase-orbit transform only; not decimal digit positions
4,9773,12,1678,1676,2,104,5925,104,5925,same phase-orbit transform only; not decimal digit positions
4,7964,12,1679,1677,2,100,2514,100,2514,same phase-orbit transform only; not decimal digit positions
4,8529,12,1679,1677,2,114,22897,114,22897,same phase-orbit transform only; not decimal digit positions
4,6873,12,1679,1677,2,98,1603,98,1603,same phase-orbit transform only; not decimal digit positions
4,6136,12,1679,1677,2,88,4771,88,4771,same phase-orbit transform only; not decimal digit positions
4,8356,12,1679,1677,2,100,9311,100,9311,same phase-orbit transform only; not decimal digit positions
4,521,12,1679,1677,2,101,25768,101,25768,same phase-orbit transform only; not decimal digit positions
4,2973,12,1679,1677,2,82,17874,82,17874,same phase-orbit transform only; not decimal digit positions
4,1353,12,1679,1677,2,95,812,95,812,same phase-orbit transform only; not decimal digit positions
