label,kind,pattern,D,A_decimal,contained_cells,contained_range,intersect_cells,intersect_range,boundary_cells,direct_first_M,direct_first_position,direct_count_in_H,contained_locate_M,contained_locate_position,contained_occupied_cells_in_range,contained_cell_returned,contained_verified_direct,intersect_locate_M,intersect_locate_position,intersect_occupied_cells_in_range,intersect_cell_returned,intersect_verified_direct,finite_index_matches_direct_first,contained_q1221,contained_r1221,intersect_q1221,intersect_r1221
zero_1,zero_block,0,1,0,429496729,0..429496728,429496730,0..429496729,1,31,32,49915,31,32,49911,123875325.0,True,31,32,49911,123875325.0,True,True,0.0,31.0,0.0,31.0
zero_2,zero_block,00,2,0,42949672,0..42949671,42949673,0..42949672,1,306,307,5003,306,307,5002,28373909.0,True,306,307,5002,28373909.0,True,True,0.0,306.0,0.0,306.0
zero_3,zero_block,000,3,0,4294967,0..4294966,4294968,0..4294967,1,600,601,483,600,601,483,2440087.0,True,600,601,483,2440087.0,True,True,0.0,600.0,0.0,600.0
zero_4,zero_block,0000,4,0,429496,0..429495,429497,0..429496,1,13389,13390,50,13389,13390,50,389618.0,True,13389,13390,50,389618.0,True,True,10.0,1179.0,10.0,1179.0
zero_5,zero_block,00000,5,0,42949,0..42948,42950,0..42949,1,17533,17534,3,17533,17534,3,4575.0,True,17533,17534,3,4575.0,True,True,14.0,439.0,14.0,439.0
zero_6,zero_block,000000,6,0,4294,0..4293,4295,0..4294,1,-1,-1,0,-1,-1,0,,False,-1,-1,0,,False,True,,,,
zero_7,zero_block,0000000,7,0,429,0..428,430,0..429,1,-1,-1,0,-1,-1,0,,False,-1,-1,0,,False,True,,,,
zero_8,zero_block,00000000,8,0,42,0..41,43,0..42,1,-1,-1,0,-1,-1,0,,False,-1,-1,0,,False,True,,,,
pat_1,arbitrary_decimal,1,1,1,429496729,429496730..858993458,429496731,429496729..858993459,2,0,1,49984,0,1,49980,608135816.0,True,0,1,49980,608135816.0,True,True,0.0,0.0,0.0,0.0
pat_14,arbitrary_decimal,14,2,14,42949672,601295422..644245093,42949674,601295421..644245094,2,0,1,4963,0,1,4962,608135816.0,True,0,1,4962,608135816.0,True,True,0.0,0.0,0.0,0.0
pat_141,arbitrary_decimal,141,3,141,4294967,605590389..609885355,4294969,605590388..609885356,2,0,1,493,0,1,492,608135816.0,True,0,1,492,608135816.0,True,True,0.0,0.0,0.0,0.0
pat_314,arbitrary_decimal,314,3,314,4294967,1348619731..1352914697,4294969,1348619730..1352914698,2,2119,2120,497,2119,2120,497,1349900025.0,True,2119,2120,497,1349900025.0,True,True,1.0,898.0,1.0,898.0
pat_159,arbitrary_decimal,159,3,159,4294966,682899801..687194766,4294968,682899800..687194767,2,2,3,510,2,3,510,684039508.0,True,2,3,510,684039508.0,True,True,0.0,2.0,0.0,2.0
pat_2718,arbitrary_decimal,2718,4,2718,429495,1167372112..1167801606,429497,1167372111..1167801607,2,11705,11706,51,11705,11706,51,1167737869.0,True,11705,11706,51,1167737869.0,True,True,9.0,716.0,9.0,716.0
pat_9999,arbitrary_decimal,9999,4,9999,429496,4294537800..4294967295,429497,4294537799..4294967295,1,761,762,58,761,762,58,4294966597.0,True,761,762,58,4294966597.0,True,True,0.0,761.0,0.0,761.0
pat_12345,arbitrary_decimal,12345,5,12345,42949,530213713..530256661,42951,530213712..530256662,2,49701,49702,4,49701,49702,4,530251883.0,True,49701,49702,4,530251883.0,True,True,40.0,861.0,40.0,861.0
pat_314159,arbitrary_decimal,314159,6,314159,4294,1349302631..1349306924,4296,1349302630..1349306925,2,176450,176451,1,176450,176451,1,1349306013.0,True,176450,176451,1,1349306013.0,True,True,144.0,626.0,144.0,626.0
pat_000001,arbitrary_decimal,000001,6,1,4294,4295..8588,4296,4294..8589,2,17533,17534,1,17533,17534,1,4575.0,True,17533,17534,1,4575.0,True,True,14.0,439.0,14.0,439.0
pat_987654,arbitrary_decimal,987654,6,987654,4294,4241941630..4241945923,4296,4241941629..4241945924,2,-1,-1,0,-1,-1,0,,False,-1,-1,0,,False,True,,,,
