arms_used,pairs_total,mean_arm_C,median_arm_C,p90_arm_C,global_C,dataset,K,lag
1,499999,0.00034605193123816877,0.00034605193123816877,0.00034605193123816877,0.00034605193123816877,pi,1,1
1,499998,0.0013264712345363986,0.0013264712345363986,0.0013264712345363986,0.0013264712345363986,pi,1,2
1,499997,0.001948277767262558,0.001948277767262558,0.001948277767262558,0.001948277767262558,pi,1,3
2,499998,0.0015106949912493564,0.0015106949912493564,0.0020057859084996505,0.0013264712345363986,pi,2,1
2,499996,0.0022587335575718656,0.0022587335575718656,0.002273547756340068,0.002056850339401523,pi,2,2
2,499994,0.001062016725272438,0.001062016725272438,0.0014231829874405085,0.0010119550770218845,pi,2,3
5,499995,0.0019981072991433328,0.002036088104719474,0.0037127930795159752,0.0016814472544072134,pi,5,1
5,499990,0.002164232721551643,0.0015176025656142207,0.0038827155054658407,0.0011024100092185483,pi,5,2
5,499985,0.0024400775787485223,0.0024901228226892887,0.0027825369551998606,0.0007313840912850723,pi,5,3
87,499913,0.011766474689661051,0.010545191625124064,0.020264399769735483,0.0020694751325269363,pi,87,1
87,499826,0.01214916929381547,0.011431347824091791,0.020431100026543657,0.0005904311993442926,pi,87,2
87,499739,0.012460291084464822,0.011766206228914252,0.021336429581417956,0.0020946598067761923,pi,87,3
1221,498779,0.04362452078839536,0.041063007368050894,0.07388808486581312,0.001973104962048182,pi,1221,1
1221,497558,0.04388501149417425,0.0412575983450832,0.07543217304897465,0.000494346644085593,pi,1221,2
1221,496337,0.04402393774856656,0.042086455220260326,0.07679229728111257,0.0009001801320176218,pi,1221,3
5669,494331,0.09328910650485911,0.08690285119859079,0.1613836139354561,0.0025595730629888722,pi,5669,1
5669,488662,0.09562876300306768,0.09018451107282949,0.1635310119063182,0.0010251624113555213,pi,5669,2
5669,482993,0.09561885018229294,0.08992700837340709,0.16488360938955535,0.001162645559490253,pi,5669,3
1,499999,0.0016141951618886263,0.0016141951618886263,0.0016141951618886263,0.0016141951618886263,random,1,1
1,499998,0.0008083226000372116,0.0008083226000372116,0.0008083226000372116,0.0008083226000372116,random,1,2
1,499997,0.001852098481410037,0.001852098481410037,0.001852098481410037,0.001852098481410037,random,1,3
2,499998,0.0009742761165720845,0.0009742761165720845,0.0010655423841112624,0.0008083226000372119,random,2,1
2,499996,0.003275371088920857,0.003275371088920857,0.003588818761954832,0.000744766924405117,random,2,2
2,499994,0.002292818641064203,0.002292818641064203,0.002350090950472027,0.0011744891926415242,random,2,3
5,499995,0.0024320235999360233,0.002816324813296043,0.004076284426204056,0.0017496966306773105,random,5,1
5,499990,0.003184578070102058,0.0035100270405984593,0.004483339888155609,0.0005209758710351871,random,5,2
5,499985,0.0019036521375107042,0.0016268584672413972,0.0028571618081280744,0.0005806635212165797,random,5,3
87,499913,0.01185303629522041,0.011270897403685467,0.019558329394187217,0.0030682966494901703,random,87,1
87,499826,0.012287627152465981,0.012561063228135532,0.02026384185447907,0.0003211698364169457,random,87,2
87,499739,0.011072918460242848,0.010114864756250192,0.017973741504227054,0.0008305465330882882,random,87,3
1221,498779,0.04308606255309347,0.04007086868588365,0.07373967087824632,0.0004642097014106498,random,1221,1
1221,497558,0.04264205748987006,0.03937419531609051,0.07435802478060673,0.0017614525420787297,random,1221,2
1221,496337,0.04466010102974033,0.04208723205870033,0.07504733835381233,0.000159907903590641,random,1221,3
5669,494331,0.09503715259387922,0.08865070816536663,0.1630178463145183,0.002039237220407455,random,5669,1
5669,488662,0.0953532514824825,0.0890865708081714,0.16239044832489175,0.0010186620479531682,random,5669,2
5669,482993,0.09518408639865919,0.08930386447520099,0.16459329328184102,0.0008906481445167501,random,5669,3
