H_next_bits,H_cond_bits,MI_bits,MI_norm_by_logN,samples,dataset,K,L_base4,N_cells
7.999628392870904,3.3184767762489136,4.681151616621991,0.5851439520777488,499999,pi,1,4,256
7.999628481411712,6.6067394626119285,1.3928890187997833,0.17411112734997292,499998,pi,2,4,256
7.999628418827102,7.902315729684984,0.0973126891421181,0.012164086142764763,499995,pi,5,4,256
7.999627962039892,7.9035236708028425,0.09610429123704911,0.012013036404631139,499913,pi,87,4,256
7.999626415261706,7.903010852770573,0.09661556249113268,0.012076945311391585,498779,pi,1221,4,256
7.999618155932438,7.901951925711567,0.09766623022087106,0.012208278777608883,494331,pi,5669,4,256
7.9996590355587145,7.903453860480158,0.09620517507855642,0.012025646884819552,499999,random,1,4,256
7.9996591169903235,7.903951755041827,0.09570736194849694,0.011963420243562117,499998,random,2,4,256
7.999658916980559,7.902059027746759,0.09759988923380014,0.012199986154225018,499995,random,5,4,256
7.99965943854222,7.904138327024944,0.09552111151727605,0.011940138939659506,499913,random,87,4,256
7.999659960298529,7.9024339006215,0.09722605967702869,0.012153257459628586,498779,random,1221,4,256
7.999658301473024,7.90208656298795,0.09757173848507339,0.012196467310634174,494331,random,5669,4,256
9.998511584051505,3.3084123097472546,6.69009927430425,0.6690099274304251,499999,pi,1,5,1024
9.998511703822878,6.490396150547882,3.5081155532749957,0.3508115553274996,499998,pi,2,5,1024
9.998511732125673,8.498274370113581,1.5002373620120917,0.15002373620120918,499995,pi,5,5,1024
9.998510568952133,8.49881351971821,1.499697049233923,0.1499697049233923,499913,pi,87,5,1024
9.998509698371437,8.497127318598274,1.5013823797731636,0.15013823797731635,498779,pi,1221,5,1024
9.998491774294996,8.486474844115662,1.5120169301793336,0.15120169301793335,494331,pi,5669,5,1024
9.998527344081435,8.497213728890145,1.5013136151912896,0.15013136151912895,499999,random,1,5,1024
9.998527342436633,8.498782930818638,1.4997444116179945,0.14997444116179945,499998,random,2,5,1024
9.998526762748444,8.499624094217967,1.4989026685304765,0.14989026685304765,499995,random,5,5,1024
9.998528202294008,8.500992226214438,1.4975359760795701,0.149753597607957,499913,random,87,5,1024
9.998524587421695,8.497392849172526,1.5011317382491693,0.15011317382491693,498779,random,1221,5,1024
9.998513042330561,8.488542006506982,1.509971035823579,0.1509971035823579,494331,random,5669,5,1024
