D,cutoff_T,true_next_M,true_wait,baseline,confidence_nominal,window_width,hit,compression_vs_full_H
3,25316,25827,511,empirical_gap,0.5,743,True,0.0003762627336829589
3,25316,25827,511,empirical_gap,0.8,1841,True,0.000932301066904882
3,25316,25827,511,empirical_gap,0.95,3295,True,0.0016686214098053157
3,28989,28989,0,empirical_gap,0.5,743,True,0.00037696390329632865
3,28989,28989,0,empirical_gap,0.8,1722,True,0.0008736633128886647
3,28989,28989,0,empirical_gap,0.95,3270,True,0.0016590470575760358
3,48496,48496,0,empirical_gap,0.5,538,True,0.0002756848051554083
3,48496,48496,0,empirical_gap,0.8,1790,True,0.0009172412662233847
3,48496,48496,0,empirical_gap,0.95,2971,True,0.0015224155318154613
3,50632,51216,584,empirical_gap,0.5,538,False,0.00027598688395418414
3,50632,51216,584,empirical_gap,0.8,1604,True,0.0008228307841310619
3,50632,51216,584,empirical_gap,0.95,2903,True,0.0014892006024516664
3,69823,69823,0,empirical_gap,0.5,538,True,0.00027873091431511205
3,69823,69823,0,empirical_gap,0.8,1542,True,0.0007988904644496334
3,69823,69823,0,empirical_gap,0.95,2925,True,0.0015154050638879232
3,75949,76536,587,empirical_gap,0.5,615,True,0.00031963809691115257
3,75949,76536,587,empirical_gap,0.8,1624,True,0.0008440524705426208
3,75949,76536,587,empirical_gap,0.95,3091,True,0.0016065062724428822
3,93916,93916,0,empirical_gap,0.5,736,True,0.0003861319857886641
3,93916,93916,0,empirical_gap,0.8,1681,True,0.0008819128642809026
3,93916,93916,0,empirical_gap,0.95,2989,True,0.0015681365564161915
3,101265,101702,437,empirical_gap,0.5,742,True,0.00039078649732585114
3,101265,101702,437,empirical_gap,0.8,1744,True,0.0009185062686472836
3,101265,101702,437,empirical_gap,0.95,2967,True,0.0015626193228649601
3,119629,119629,0,empirical_gap,0.5,736,True,0.00039141212026775566
3,119629,119629,0,empirical_gap,0.8,1743,True,0.0009269447359058398
3,119629,119629,0,empirical_gap,0.95,2975,True,0.0015821345893975178
3,126582,127099,517,empirical_gap,0.5,739,True,0.00039446615757935495
3,126582,127099,517,empirical_gap,0.8,1746,True,0.0009319863479479753
3,126582,127099,517,empirical_gap,0.95,2964,True,0.0015821348999529204
3,143697,143697,0,empirical_gap,0.5,730,True,0.00039325476498179443
3,143697,143697,0,empirical_gap,0.8,1744,True,0.0009395017946962322
3,143697,143697,0,empirical_gap,0.95,2897,True,0.0015606288413044637
3,151898,153252,1354,empirical_gap,0.5,731,False,0.00039554093875770926
3,151898,153252,1354,empirical_gap,0.8,1743,True,0.0009431297623183136
3,151898,153252,1354,empirical_gap,0.95,2845,True,0.0015394171966698809
3,171463,171463,0,empirical_gap,0.5,736,True,0.0004025075784630007
3,171463,171463,0,empirical_gap,0.8,1753,True,0.0009586899253337505
3,171463,171463,0,empirical_gap,0.95,2949,True,0.0016127647403361266
3,177215,178175,960,empirical_gap,0.5,732,False,0.00040158329150174045
3,177215,178175,960,empirical_gap,0.8,1748,True,0.0009589721223292928
3,177215,178175,960,empirical_gap,0.95,2925,True,0.0016046873328450695
3,196072,196072,0,empirical_gap,0.5,730,True,0.00040467247029814935
3,196072,196072,0,empirical_gap,0.8,1754,True,0.0009723226204150055
3,196072,196072,0,empirical_gap,0.95,3003,True,0.0016647005867196473
3,202531,204242,1711,empirical_gap,0.5,732,False,0.00040723929035771963
3,202531,204242,1711,empirical_gap,0.8,1775,True,0.0009874996453346344
3,202531,204242,1711,empirical_gap,0.95,2975,True,0.0016551050393636831
3,214691,214691,0,empirical_gap,0.5,681,True,0.000381446573114234
3,214691,214691,0,empirical_gap,0.8,1774,True,0.0009936655223269472
