D,cutoff_T,true_next_M,true_wait,baseline,confidence_nominal,window_width,hit,compression_vs_full_H
3,25316,25827,511,poisson_random,0.5,694,True,0.00035144863684518637
3,25316,25827,511,poisson_random,0.8,1610,True,0.0008153203246696687
3,25316,25827,511,poisson_random,0.95,2996,True,0.0015172047780809487
3,28989,28989,0,poisson_random,0.5,694,True,0.00035210356512469995
3,28989,28989,0,poisson_random,0.8,1610,True,0.000816839682782085
3,28989,28989,0,poisson_random,0.95,2996,True,0.0015200321053510102
3,48496,48496,0,poisson_random,0.5,694,True,0.0003556231501447089
3,48496,48496,0,poisson_random,0.8,1610,True,0.0008250047143126532
3,48496,48496,0,poisson_random,0.95,2996,True,0.001535226164025285
3,50632,51216,584,poisson_random,0.5,694,True,0.00035601282056543456
3,50632,51216,584,poisson_random,0.8,1610,True,0.0008259087047699562
3,50632,51216,584,poisson_random,0.95,2996,True,0.0015369083723545272
3,69823,69823,0,poisson_random,0.5,694,True,0.00035955251772246794
3,69823,69823,0,poisson_random,0.8,1610,True,0.0008341203941400193
3,69823,69823,0,poisson_random,0.95,2996,True,0.0015521892551822968
3,75949,76536,587,poisson_random,0.5,694,True,0.0003606972996038047
3,75949,76536,587,poisson_random,0.8,1610,True,0.0008367761561413913
3,75949,76536,587,poisson_random,0.95,2996,True,0.0015571312818631108
3,93916,93916,0,poisson_random,0.5,694,True,0.0003640972800778979
3,93916,93916,0,poisson_random,0.8,1610,True,0.0008446637189127026
3,93916,93916,0,poisson_random,0.95,2996,True,0.001571809007367986
3,101265,101702,437,poisson_random,0.5,694,True,0.0003655065082805131
3,101265,101702,437,poisson_random,0.8,1610,True,0.0008479329658957148
3,101265,101702,437,poisson_random,0.95,2996,True,0.001577892649579852
3,119629,119629,0,poisson_random,0.5,694,True,0.00036907610253508484
3,119629,119629,0,poisson_random,0.8,1610,True,0.0008562140130857156
3,119629,119629,0,poisson_random,0.95,2996,True,0.0015933025982638532
3,126582,127099,517,poisson_random,0.5,694,True,0.00037044589087966486
3,126582,127099,517,poisson_random,0.8,1610,True,0.0008593917641444675
3,126582,127099,517,poisson_random,0.95,2996,True,0.0015992159784949222
3,143697,143697,0,poisson_random,0.5,694,True,0.0003738613793114594
3,143697,143697,0,poisson_random,0.8,1610,True,0.0008673153035899851
3,143697,143697,0,poisson_random,0.95,2996,True,0.0016139606518978853
3,151898,153252,1354,poisson_random,0.5,694,False,0.00037552039876586897
3,151898,153252,1354,poisson_random,0.8,1610,True,0.0008711640374827796
3,151898,153252,1354,poisson_random,0.95,2996,True,0.0016211226436636072
3,171463,171463,0,poisson_random,0.5,694,True,0.0003795383959963621
3,171463,171463,0,poisson_random,0.8,1610,True,0.0008804853278878141
3,171463,171463,0,poisson_random,0.95,2996,True,0.0016384683492868888
3,177215,178175,960,poisson_random,0.5,694,False,0.00038073607145110367
3,177215,178175,960,poisson_random,0.8,1610,True,0.0008832637968822434
3,177215,178175,960,poisson_random,0.95,2996,True,0.0016436387176765224
3,196072,196072,0,poisson_random,0.5,694,True,0.00038471601970810365
3,196072,196072,0,poisson_random,0.8,1610,True,0.0008924968180548226
3,196072,196072,0,poisson_random,0.95,2996,True,0.0016608201657715828
3,202531,204242,1711,poisson_random,0.5,694,False,0.0003860984528801331
3,202531,204242,1711,poisson_random,0.8,1610,False,0.0008957039036556402
3,202531,204242,1711,poisson_random,0.95,2996,True,0.0016667881337591914
3,214691,214691,0,poisson_random,0.5,694,True,0.00038872822575811806
3,214691,214691,0,poisson_random,0.8,1610,True,0.0009018046735887177
3,214691,214691,0,poisson_random,0.95,2996,True,0.0016781408708520485
3,227847,228145,298,poisson_random,0.5,694,True,0.0003916140423541308
3,227847,228145,298,poisson_random,0.8,1610,True,0.0009084994354324937
3,227847,228145,298,poisson_random,0.95,2996,True,0.00169059894941351
3,238023,238023,0,poisson_random,0.5,694,True,0.00039387574298642945
3,238023,238023,0,poisson_random,0.8,1610,True,0.0009137463201846562
3,238023,238023,0,poisson_random,0.95,2996,True,0.0017003627175610125
3,253164,254227,1063,poisson_random,0.5,694,False,0.00039728972840037647
3,253164,254227,1063,poisson_random,0.8,1610,True,0.000921666372802026
3,253164,254227,1063,poisson_random,0.95,2996,True,0.0017151009024315962
3,270151,270151,0,poisson_random,0.5,694,True,0.00040119108662085536
3,270151,270151,0,poisson_random,0.8,1610,True,0.0009307170741492466
3,270151,270151,0,poisson_random,0.95,2996,True,0.001731943077112511
3,278480,278923,443,poisson_random,0.5,694,True,0.00040313211580463775
3,278480,278923,443,poisson_random,0.8,1610,True,0.0009352200381058599
