D,cutoff_T,train_hits,true_next_M,true_wait
3,25316,22,25827,511
3,28989,24,28989,0
3,48496,48,48496,0
3,50632,54,51216,584
3,69823,72,69823,0
3,75949,78,76536,587
3,93916,96,93916,0
3,101265,102,101702,437
3,119629,120,119629,0
3,126582,123,127099,517
3,143697,144,143697,0
3,151898,155,153252,1354
3,171463,168,171463,0
3,177215,176,178175,960
3,196072,192,196072,0
3,202531,200,204242,1711
3,214691,216,214691,0
3,227847,227,228145,298
3,238023,240,238023,0
3,253164,248,254227,1063
3,270151,264,270151,0
3,278480,278,278923,443
3,291188,288,291188,0
3,303797,304,305776,1979
3,315376,312,315376,0
3,329113,321,329492,379
3,343930,336,343930,0
3,354430,346,355493,1063
3,364330,360,364330,0
3,379746,379,380943,1197
3,386665,384,386665,0
3,405063,398,405841,778
3,414595,408,414595,0
3,430379,424,430537,158
3,437152,432,437152,0
3,455695,447,456215,520
3,467198,456,467198,0
3,481012,467,481098,86
3,497603,480,497603,0
3,506328,489,506633,305
3,528149,504,528149,0
3,531645,510,532475,830
3,556961,526,557150,189
3,562900,528,562900,0
3,582278,538,584565,2287
3,594958,552,594958,0
3,607594,562,607951,357
3,620928,576,620928,0
3,632911,588,633437,526
3,640100,600,640100,0
3,658227,621,659487,1260
3,665982,624,665982,0
3,683543,646,684822,1279
3,687073,648,687073,0
3,702677,672,702677,0
3,708860,684,709169,309
3,726389,696,726389,0
3,734176,705,735008,832
3,746659,720,746659,0
3,759493,737,760251,758
3,764186,744,764186,0
3,784809,764,786749,1940
3,790489,768,790489,0
3,810126,786,810828,702
3,815917,792,815917,0
3,830973,816,830973,0
3,835442,822,835571,129
3,851506,840,851506,0
3,860759,852,860952,193
3,880426,864,880426,0
3,886075,871,886964,889
3,907472,888,907472,0
3,911391,892,913598,2207
3,933440,912,933440,0
3,936708,916,938849,2141
3,962024,936,963715,1691
3,963715,936,963715,0
3,987341,958,988709,1368
3,990489,960,990489,0
3,1012657,979,1012929,272
3,1020753,984,1020753,0
3,1037974,1003,1042364,4390
3,1047599,1008,1047599,0
3,1063290,1020,1063691,401
3,1072503,1032,1072503,0
3,1088607,1048,1089096,489
3,1102473,1056,1102473,0
3,1113923,1072,1114218,295
3,1121464,1080,1121464,0
3,1139239,1096,1140226,987
3,1156905,1104,1156905,0
3,1164556,1113,1165929,1373
3,1178591,1128,1178591,0
3,1189872,1138,1190264,392
3,1205984,1152,1205984,0
3,1215189,1161,1215871,682
3,1228860,1176,1228860,0
3,1240505,1190,1241404,899
3,1251721,1200,1251721,0
3,1265822,1213,1268686,2864
3,1283537,1224,1283537,0
3,1291138,1240,1291655,517
3,1302150,1248,1302150,0
3,1316455,1261,1319140,2685
3,1334789,1272,1334789,0
3,1341771,1277,1341970,199
3,1358085,1296,1358085,0
3,1367087,1300,1368095,1008
3,1392404,1312,1392791,387
3,1403616,1320,1403616,0
3,1417720,1332,1419495,1775
3,1429306,1344,1429306,0
3,1443037,1359,1443996,959
3,1449461,1368,1449461,0
3,1468353,1385,1468647,294
3,1478354,1392,1478354,0
3,1493670,1406,1496788,3118
3,1515444,1416,1515444,0
3,1518986,1423,1521816,2830
3,1530280,1440,1530280,0
3,1544303,1461,1548102,3799
3,1549307,1464,1549307,0
3,1569619,1488,1571364,1745
3,1571364,1488,1571364,0
3,1585948,1512,1585948,0
3,1594935,1517,1596598,1663
3,1616977,1536,1616977,0
3,1620252,1543,1622992,2740
3,1643071,1560,1643071,0
3,1645568,1563,1645596,28
3,1662793,1584,1662793,0
3,1670885,1589,1671081,196
3,1686323,1608,1686323,0
3,1696201,1617,1697013,812
3,1706437,1632,1706437,0
3,1721518,1648,1721675,157
3,1736050,1656,1736050,0
3,1746834,1665,1747383,549
3,1761773,1680,1761773,0
3,1772151,1687,1774460,2309
3,1783091,1704,1783091,0
3,1797467,1722,1801794,4327
3,1805979,1728,1805979,0
3,1822783,1750,1825169,2386
3,1828434,1752,1828434,0
3,1847517,1776,1847517,0
3,1848100,1777,1848599,499
3,1873416,1800,1874418,1002
3,1874418,1800,1874418,0
3,1898733,1819,1899745,1012
3,1904159,1824,1904159,0
3,1924049,1843,1924379,330
3,1928736,1848,1928736,0
3,1949366,1871,1950273,907
3,1950616,1872,1950616,0
3,1974682,1896,1974969,287
3,1974969,1896,1974969,0
4,50632,5,51216,584
4,54935,6,54935,0
4,75949,8,93040,17091
4,93040,8,93040,0
4,101265,9,102312,1047
4,119628,10,119628,0
4,126582,11,129327,2745
4,130641,12,130641,0
4,151898,14,154372,2474
4,154372,14,154372,0
4,171927,16,171927,0
4,177215,17,196072,18857
4,202376,18,202376,0
4,202531,19,204242,1711
4,211057,20,211057,0
4,213050,22,213050,0
4,215287,24,215287,0
4,227847,25,235899,8052
4,237790,26,237790,0
4,253164,27,254227,1063
4,254523,28,254523,0
4,278480,30,293799,15319
4,293799,30,293799,0
4,303797,32,327260,23463
4,327260,32,327260,0
4,329113,33,329492,379
4,337736,34,337736,0
4,351142,36,351142,0
