D,M_preimage_depth,Q,L_grid,grid_cells,explicit_intervals,interval_width_log10,total_measure,intersect_cell_runs,intersect_cells,contained_cell_runs,contained_cells,boundary_cells,symbolic_pattern,symbolic_length_unrolled
1,0,4,2,16,1,-1,0.1,1,2,1,1,1,0,1
1,0,4,3,64,1,-1,0.1,1,7,1,6,1,0,1
1,0,4,4,256,1,-1,0.1,1,26,1,25,1,0,1
1,1,4,4,256,10,-2,0.1,10,34,10,16,18,*0,2
1,1,4,5,1024,10,-2,0.1,10,112,10,94,18,*0,2
1,1,4,6,4096,10,-2,0.1,10,418,10,400,18,*0,2
1,2,4,5,1024,100,-3,0.1,100,200,4,4,196,**0,3
1,2,4,6,4096,100,-3,0.1,100,508,100,312,196,**0,3
1,2,4,7,16384,100,-3,0.1,100,1736,100,1540,196,**0,3
1,3,4,7,16384,1000,-4,0.1,1000,2632,640,640,1992,***0,4
1,3,4,8,65536,1000,-4,0.1,1000,7552,1000,5560,1992,***0,4
1,3,4,9,262144,1000,-4,0.1,1000,27208,1000,25216,1992,***0,4
1,4,4,9,262144,10000,-5,0.1,10000,36208,10000,16224,19984,****0,5
1,4,4,10,1048576,10000,-5,0.1,10000,114848,10000,94864,19984,****0,5
1,4,4,11,4194304,10000,-5,0.1,10000,429424,10000,409440,19984,****0,5
1,5,4,10,1048576,100000,-6,0.1,100000,204832,4864,4864,199968,*****0,6
1,5,4,11,4194304,100000,-6,0.1,100000,519424,100000,319456,199968,*****0,6
1,5,4,12,16777216,100000,-6,0.1,100000,1777696,100000,1577728,199968,*****0,6
2,0,4,4,256,1,-2,0.01,1,3,1,2,1,00,2
2,0,4,5,1024,1,-2,0.01,1,11,1,10,1,00,2
2,0,4,6,4096,1,-2,0.01,1,41,1,40,1,00,2
2,1,4,5,1024,10,-3,0.01,10,20,2,2,18,*00,3
2,1,4,6,4096,10,-3,0.01,10,50,10,32,18,*00,3
2,1,4,7,16384,10,-3,0.01,10,172,10,154,18,*00,3
2,2,4,7,16384,100,-4,0.01,100,260,64,64,196,**00,4
2,2,4,8,65536,100,-4,0.01,100,752,100,556,196,**00,4
2,2,4,9,262144,100,-4,0.01,100,2720,100,2524,196,**00,4
2,3,4,9,262144,1000,-5,0.01,1000,3616,1000,1624,1992,***00,5
2,3,4,10,1048576,1000,-5,0.01,1000,11480,1000,9488,1992,***00,5
2,3,4,11,4194304,1000,-5,0.01,1000,42936,1000,40944,1992,***00,5
2,4,4,10,1048576,10000,-6,0.01,10000,20480,496,496,19984,****00,6
2,4,4,11,4194304,10000,-6,0.01,10000,51936,10000,31952,19984,****00,6
2,4,4,12,16777216,10000,-6,0.01,10000,177760,10000,157776,19984,****00,6
2,5,4,12,16777216,100000,-7,0.01,100000,267744,67776,67776,199968,*****00,7
2,5,4,13,67108864,100000,-7,0.01,100000,771072,100000,571104,199968,*****00,7
2,5,4,14,268435456,100000,-7,0.01,100000,2784352,100000,2584384,199968,*****00,7
3,0,4,5,1024,1,-3,0.001,1,2,1,1,1,000,3
3,0,4,6,4096,1,-3,0.001,1,5,1,4,1,000,3
3,0,4,7,16384,1,-3,0.001,1,17,1,16,1,000,3
3,1,4,7,16384,10,-4,0.001,10,26,8,8,18,*000,4
3,1,4,8,65536,10,-4,0.001,10,74,10,56,18,*000,4
3,1,4,9,262144,10,-4,0.001,10,272,10,254,18,*000,4
3,2,4,9,262144,100,-5,0.001,100,360,100,164,196,**000,5
3,2,4,10,1048576,100,-5,0.001,100,1148,100,952,196,**000,5
3,2,4,11,4194304,100,-5,0.001,100,4292,100,4096,196,**000,5
3,3,4,10,1048576,1000,-6,0.001,1000,2048,56,56,1992,***000,6
3,3,4,11,4194304,1000,-6,0.001,1000,5192,1000,3200,1992,***000,6
3,3,4,12,16777216,1000,-6,0.001,1000,17776,1000,15784,1992,***000,6
3,4,4,12,16777216,10000,-7,0.001,10000,26768,6784,6784,19984,****000,7
3,4,4,13,67108864,10000,-7,0.001,10000,77104,10000,57120,19984,****000,7
3,4,4,14,268435456,10000,-7,0.001,10000,278432,10000,258448,19984,****000,7
3,5,4,14,268435456,100000,-8,0.001,100000,368416,100000,168448,199968,*****000,8
3,5,4,15,1073741824,100000,-8,0.001,100000,1173728,100000,973760,199968,*****000,8
3,5,4,16,4294967296,100000,-8,0.001,100000,4394944,100000,4194976,199968,*****000,8
