D,pattern,A,direct_M,direct_position,intersect_locate_M,intersect_position,contained_locate_M,contained_position,candidate_positions_in_intersect_cells,candidate_positions_in_contained_cells,intersect_cell_range,contained_cell_range,resonance_q1221,resonance_r1221,contained_q1221,contained_r1221,suffix_at_intersect
2,00,0,306,307,306,307,306,307,5003,5003,0..41943,0..41942,0,306,0,306,00660631558817
2,01,1,166,167,166,167,166,167,4994,4994,41943..83886,41944..83885,0,166,0,166,01938521105559
2,02,2,31,32,31,32,31,32,4968,4968,83886..125829,83887..125828,0,31,0,31,02884197169399
2,08,8,76,77,76,77,76,77,5044,5044,335544..377487,335545..377486,0,76,0,76,08998628034825
2,12,12,147,148,147,148,147,148,4899,4899,503316..545259,503317..545258,0,147,0,147,12848111745028
2,21,21,92,93,92,93,92,93,5011,5011,880803..922746,880804..922745,0,92,0,92,21170679821480
2,23,23,15,16,15,16,15,16,4922,4922,964689..1006632,964690..1006631,0,15,0,15,23846264338327
2,26,26,5,6,5,6,5,6,4906,4906,1090519..1132462,1090520..1132461,0,5,0,5,26535897932384
2,34,34,85,86,85,86,85,86,5023,5022,1426063..1468006,1426064..1468005,0,85,0,85,34825342117067
2,39,39,42,43,42,43,42,43,5050,5050,1635778..1677721,1635779..1677720,0,42,0,42,39937510582097
2,42,42,91,92,91,92,91,92,4967,4967,1761607..1803550,1761608..1803549,0,91,0,91,42117067982148
2,47,47,118,119,118,119,118,119,5061,5061,1971322..2013265,1971323..2013264,0,118,0,118,47093844609550
2,49,49,56,57,56,57,56,57,5075,5075,2055208..2097151,2055209..2097151,0,56,0,56,49445923078164
2,50,50,30,31,30,31,30,31,4992,4992,2097152..2139095,2097152..2139094,0,30,0,30,50288419716939
2,60,60,126,127,126,127,126,127,5091,5090,2516582..2558525,2516583..2558524,0,126,0,126,60955058223172
2,61,61,218,219,218,219,218,219,4980,4980,2558525..2600468,2558526..2600467,0,218,0,218,61284756482337
2,65,65,6,7,6,7,6,7,4939,4938,2726297..2768240,2726298..2768239,0,6,0,6,65358979323846
2,69,69,40,41,40,41,40,41,4904,4904,2894069..2936012,2894070..2936011,0,40,0,40,69399375105820
2,74,74,55,56,55,56,55,56,5101,5101,3103784..3145727,3103785..3145727,0,55,0,55,74944592307816
2,77,77,558,559,558,559,558,559,4939,4939,3229614..3271557,3229615..3271556,0,558,0,558,77053921717629
2,87,87,304,305,304,305,304,305,4926,4926,3649044..3690987,3649045..3690986,0,304,0,304,87006606315588
2,92,92,4,5,4,5,4,5,4893,4893,3858759..3900702,3858760..3900701,0,4,0,4,92653589793238
2,99,99,43,44,43,44,43,44,4994,4994,4152360..4194303,4152361..4194303,0,43,0,43,99375105820974
3,000,0,600,601,600,601,600,601,483,482,0..4194,0..4193,0,600,0,600,000568127145263
3,001,1,359,360,359,360,359,360,506,505,4194..8388,4195..8387,0,359,0,359,001133053054882
3,009,9,1174,1175,1174,1175,1174,1175,478,478,37748..41943,37749..41942,0,1174,0,1174,009277016711390
3,021,21,522,523,522,523,522,523,540,540,88080..92274,88081..92273,0,522,0,522,021394946395224
3,075,75,1143,1144,1143,1144,1143,1144,473,472,314572..318767,314573..318766,0,1143,0,1143,075098381754637
3,104,104,268,269,268,269,268,269,501,500,436207..440401,436208..440400,0,268,0,268,104543266482133
3,136,136,733,734,733,734,733,734,540,540,570425..574619,570426..574618,0,733,0,733,136297747713099
3,165,165,237,238,237,238,237,238,476,476,692060..696254,692061..696253,0,237,0,237,165271201909145
3,197,197,36,37,36,37,36,37,488,488,826277..830472,826278..830471,0,36,0,36,197169399375105
3,220,220,1909,1910,1909,1910,1909,1910,499,499,922746..926941,922747..926940,1,688,1,688,220391949450471
3,285,285,1199,1200,1199,1200,1199,1200,463,460,1195376..1199570,1195377..1199569,0,1199,0,1199,285836160356370
3,286,286,72,73,72,73,72,73,433,431,1199570..1203765,1199571..1203764,0,72,0,72,286208998628034
3,441,441,725,726,725,726,725,726,515,515,1849688..1853882,1849689..1853881,0,725,0,725,441815981362977
3,451,451,2106,2107,2106,2107,2106,2107,443,443,1891631..1895825,1891632..1895824,1,885,1,885,451749399651431
3,500,500,6237,6238,6237,6238,6237,6238,498,498,2097152..2101346,2097152..2101345,5,132,5,132,500516832336435
3,523,523,577,578,577,578,577,578,453,453,2193620..2197815,2193621..2197814,0,577,0,577,523846748184676
3,552,552,1662,1663,1662,1663,1662,1663,489,489,2315255..2319450,2315256..2319449,1,441,1,441,552133475741849
