system,anchor_prefix_length,anchor_prefix,occurrence_number_excluding_start,anchor_M_zero_based,anchor_position_1based,relative_offset,read_length,read_result,direct_slice,verified,left_part,anchor_part,right_part
decimal,2,14,0,102,103,-8,18,170679821480865132,170679821480865132,True,17067982,14,80865132
decimal,2,14,1,249,250,-8,18,712019091456485669,712019091456485669,True,71201909,14,56485669
decimal,2,14,2,294,295,-8,18,072602491412737245,072602491412737245,True,07260249,14,12737245
decimal,2,14,3,384,385,-8,18,665213841469519415,665213841469519415,True,66521384,14,69519415
decimal,2,14,4,609,610,-8,18,005681271452635608,005681271452635608,True,00568127,14,52635608
decimal,3,141,0,294,295,-8,19,0726024914127372458,0726024914127372458,True,07260249,141,27372458
decimal,3,141,1,1381,1382,-8,19,6473263914199272604,6473263914199272604,True,64732639,141,99272604
decimal,3,141,2,1635,1636,-8,19,1477235014144197356,1477235014144197356,True,14772350,141,44197356
decimal,3,141,3,2724,2725,-8,19,6782105114135473573,6782105114135473573,True,67821051,141,35473573
decimal,3,141,4,2915,2916,-8,19,9399520614196634287,9399520614196634287,True,93995206,141,96634287
decimal,4,1415,0,6954,6955,-8,20,19898757141595781119,19898757141595781119,True,19898757,1415,95781119
decimal,4,1415,1,29135,29136,-8,20,03463327141531622328,03463327141531622328,True,03463327,1415,31622328
decimal,4,1415,2,45233,45234,-8,20,43209499141595933963,43209499141595933963,True,43209499,1415,95933963
decimal,4,1415,3,79686,79687,-8,20,16256391141561032684,16256391141561032684,True,16256391,1415,61032684
decimal,4,1415,4,85879,85880,-8,20,05633045141564414623,05633045141564414623,True,05633045,1415,64414623
decimal,5,14159,0,6954,6955,-8,21,198987571415957811196,198987571415957811196,True,19898757,14159,57811196
decimal,5,14159,1,45233,45234,-8,21,432094991415959339636,432094991415959339636,True,43209499,14159,59339636
decimal,5,14159,2,109568,109569,-8,21,788537581415975799314,788537581415975799314,True,78853758,14159,75799314
decimal,5,14159,3,176451,176452,-8,21,432457331415978761655,432457331415978761655,True,43245733,14159,78761655
decimal,5,14159,4,357593,357594,-8,21,540609091415949767808,540609091415949767808,True,54060909,14159,49767808
decimal,6,141592,0,821581,821582,-8,22,6608455714159223131125,6608455714159223131125,True,66084557,141592,23131125
base4,2,02,0,13,14,-8,18,333122220202011220,333122220202011220,True,33312222,02,02011220
base4,2,02,1,15,16,-8,18,312222020201122030,312222020201122030,True,31222202,02,01122030
base4,2,02,2,25,26,-8,18,011220300203103010,011220300203103010,True,01122030,02,03103010
base4,2,02,3,41,42,-8,18,103012120220232000,103012120220232000,True,10301212,02,20232000
base4,2,02,4,44,45,-8,18,012120220232000313,012120220232000313,True,01212022,02,32000313
base4,3,021,0,69,70,-8,19,0102210002103200202,0102210002103200202,True,01022100,021,03200202
base4,3,021,1,125,126,-8,19,0321230202110110220,0321230202110110220,True,03212302,021,10110220
base4,3,021,2,209,210,-8,19,2212313302113301100,2212313302113301100,True,22123133,021,13301100
base4,3,021,3,249,250,-8,19,3111013002101132102,3111013002101132102,True,31110130,021,01132102
base4,3,021,4,273,274,-8,19,1113121202113213323,1113121202113213323,True,11131212,021,13213323
base4,4,0210,0,69,70,-8,20,01022100021032002020,01022100021032002020,True,01022100,0210,32002020
base4,4,0210,1,249,250,-8,20,31110130021011321020,31110130021011321020,True,31110130,0210,11321020
base4,4,0210,2,391,392,-8,20,22322133021001011330,22322133021001011330,True,22322133,0210,01011330
base4,4,0210,3,416,417,-8,20,13332121021022012121,13332121021022012121,True,13332121,0210,22012121
base4,4,0210,4,531,532,-8,20,22203331021030331133,22203331021030331133,True,22203331,0210,30331133
base4,5,02100,0,391,392,-8,21,223221330210010113301,223221330210010113301,True,22322133,02100,10113301
base4,5,02100,1,1746,1747,-8,21,210332200210030032202,210332200210030032202,True,21033220,02100,30032202
base4,5,02100,2,1934,1935,-8,21,323133130210022123000,323133130210022123000,True,32313313,02100,22123000
base4,5,02100,3,3805,3806,-8,21,132133210210000021100,132133210210000021100,True,13213321,02100,00021100
base4,5,02100,4,6827,6828,-8,21,113031130210010301300,113031130210010301300,True,11303113,02100,10301300
base4,6,021003,0,1746,1747,-8,22,2103322002100300322020,2103322002100300322020,True,21033220,021003,00322020
base4,6,021003,1,20671,20672,-8,22,1301200002100300111322,1301200002100300111322,True,13012000,021003,00111322
base4,6,021003,2,22167,22168,-8,22,1003021102100333032202,1003021102100333032202,True,10030211,021003,33032202
base4,6,021003,3,22229,22230,-8,22,2022012302100312132032,2022012302100312132032,True,20220123,021003,12132032
base4,6,021003,4,24484,24485,-8,22,1300132102100320212331,1300132102100320212331,True,13001321,021003,20212331
base4,7,0210033,0,22167,22168,-8,23,10030211021003330322023,10030211021003330322023,True,10030211,0210033,30322023
base4,7,0210033,1,41048,41049,-8,23,10130010021003311022113,10130010021003311022113,True,10130010,0210033,11022113
base4,7,0210033,2,79968,79969,-8,23,31311020021003303011112,31311020021003303011112,True,31311020,0210033,03011112
base4,7,0210033,3,100752,100753,-8,23,12223123021003323133201,12223123021003323133201,True,12223123,0210033,23133201
base4,7,0210033,4,151639,151640,-8,23,12330322021003312022222,12330322021003312022222,True,12330322,0210033,12022222
base4,8,02100333,0,22167,22168,-8,24,100302110210033303220231,100302110210033303220231,True,10030211,02100333,03220231
base4,8,02100333,1,188610,188611,-8,24,132331310210033332330212,132331310210033332330212,True,13233131,02100333,32330212
base4,8,02100333,2,226041,226042,-8,24,032232310210033332032201,032232310210033332032201,True,03223231,02100333,32032201
base4,8,02100333,3,259051,259052,-8,24,100111130210033320220012,100111130210033320220012,True,10011113,02100333,20220012
base4,8,02100333,4,272014,272015,-8,24,220310230210033330001300,220310230210033330001300,True,22031023,02100333,30001300
base4,9,021003331,0,297063,297064,-8,25,0321003202100333121331233,0321003202100333121331233,True,03210032,021003331,21331233
base4,10,0210033312,0,297063,297064,-8,26,03210032021003331213312330,03210032021003331213312330,True,03210032,0210033312,13312330
