occurrence_index,M_zero_based,position_1based,left_context,anchor,right_context,relative_window,negative_read_offset,negative_read_length,positive_read_offset,positive_read_length,system,prefix_length,anchor_prefix
0,102,103,4825342117067982,14,8086513282306647,4825342117067982148086513282306647,-16,16,2,16,decimal,2,14
1,249,250,6783165271201909,14,5648566923460348,6783165271201909145648566923460348,-16,16,2,16,decimal,2,14
2,294,295,8213393607260249,14,1273724587006606,8213393607260249141273724587006606,-16,16,2,16,decimal,2,14
3,384,385,0548820466521384,14,6951941511609433,0548820466521384146951941511609433,-16,16,2,16,decimal,2,14
4,609,610,9405132000568127,14,5263560827785771,9405132000568127145263560827785771,-16,16,2,16,decimal,2,14
5,650,651,8960917363717872,14,6844090122495343,8960917363717872146844090122495343,-16,16,2,16,decimal,2,14
6,669,670,8440901224953430,14,6549585371050792,8440901224953430146549585371050792,-16,16,2,16,decimal,2,14
7,881,882,5288658753320838,14,2061717766914730,5288658753320838142061717766914730,-16,16,2,16,decimal,2,14
8,894,895,8381420617177669,14,7303598253490428,8381420617177669147303598253490428,-16,16,2,16,decimal,2,14
9,1381,1382,6402474964732639,14,1992726042699227,6402474964732639141992726042699227,-16,16,2,16,decimal,2,14
10,1611,1612,3800081647060016,14,5249192173217214,3800081647060016145249192173217214,-16,16,2,16,decimal,2,14
11,1627,1628,1452491921732172,14,7723501414419735,1452491921732172147723501414419735,-16,16,2,16,decimal,2,14
12,1635,1636,2173217214772350,14,1441973568548161,2173217214772350141441973568548161,-16,16,2,16,decimal,2,14
13,1637,1638,7321721477235014,14,4197356854816136,7321721477235014144197356854816136,-16,16,2,16,decimal,2,14
14,1695,1696,8438523323907394,14,3334547762416862,8438523323907394143334547762416862,-16,16,2,16,decimal,2,14
15,1811,1812,8438382796797668,14,5410095388378636,8438382796797668145410095388378636,-16,16,2,16,decimal,2,14
16,2066,2067,2671947826848260,14,7699090264013639,2671947826848260147699090264013639,-16,16,2,16,decimal,2,14
17,2117,2118,9625245174939965,14,3142980919065925,9625245174939965143142980919065925,-16,16,2,16,decimal,2,14
18,2120,2121,5245174939965143,14,2980919065925093,5245174939965143142980919065925093,-16,16,2,16,decimal,2,14
19,2330,2331,4976278079771569,14,3599770012961608,4976278079771569143599770012961608,-16,16,2,16,decimal,2,14
