horizon_H_digits,tail_length_L,tail_start_M_zero_based,tail_position_1based,tail,occurrences_in_prefix,earlier_occurrences_excluding_boundary,is_unique_anchor_in_prefix,first_earlier_occurrence_M,expected_false_matches_random,expected_false_matches_log10,negative_context_len,negative_context_verified
10000,20,9980,9981,05600101655256375678,1,0,True,,9.979999999999999e-17,-16.00086945871263,32,True
10000,50,9950,9951,46101264836999892256959688159205600101655256375678,1,0,True,,9.95e-47,-46.002176919254275,32,True
10000,100,9900,9901,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,1,0,True,,9.9e-97,-96.00436480540245,32,True
50000,20,49980,49981,10522900246574236041,1,0,True,,4.998e-16,-15.301203748209568,32,True
50000,50,49950,49951,06526234053394391421112718106910522900246574236041,1,0,True,,4.995e-46,-45.301464507438,32,True
50000,100,49900,49901,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,1,0,True,,4.99e-96,-95.30189945437661,32,True
100000,20,99980,99981,67420805655493624646,1,0,True,,9.998e-16,-15.000086867583429,32,True
100000,50,99950,99951,70150789337728658035712790913767420805655493624646,1,0,True,,9.995e-46,-45.000217201545865,32,True
100000,100,99900,99901,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,1,0,True,,9.99e-96,-95.00043451177402,32,True
500000,20,499980,499981,40424876025138195242,1,0,True,,4.9998e-15,-14.301047367790702,32,True
500000,50,499950,499951,49536223222219746596193325290740424876025138195242,1,0,True,,4.9995e-45,-44.30107342728379,32,True
500000,100,499900,499901,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,1,0,True,,4.999e-95,-94.30111686324742,32,True
1000000,20,999980,999981,22090106105779458151,1,0,True,,9.9998e-15,-14.000008685976498,32,True
1000000,50,999950,999951,56787961303311646283996346460422090106105779458151,1,0,True,,9.9995e-45,-44.00002171526698,32,True
1000000,100,999900,999901,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,1,0,True,,9.999e-95,-94.0000434316198,32,True
2000000,20,1999980,1999981,36871065191457297909,1,0,True,,1.9999799999999998e-14,-13.698974347302553,32,True
2000000,50,1999950,1999951,29071744735892565046166373563236871065191457297909,1,0,True,,1.99995e-44,-43.69898086183379,32,True
2000000,100,1999900,1999901,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,1,0,True,,1.9999e-94,-93.698991719603,32,True
