cutoff_H,step,boundary_before_step,tail_len,tail_preview,true_digit,selected_digit,accepted_count,accepted_digits,rejected_count,negative_alignment_candidates,certificate_guard_len,guard_preview,step_correct,tail_occurrences_in_known_after_step,tail_has_earlier_duplicate_diagnostic
10000,1,10000,100,959688159205600101655256375678,5,5,1,5,9,10,32,5667227966198857,True,1,False
10000,2,10001,100,596881592056001016552563756785,6,6,1,6,9,10,32,6672279661988578,True,1,False
10000,3,10002,100,968815920560010165525637567856,6,6,1,6,9,10,32,6722796619885782,True,1,False
10000,4,10003,100,688159205600101655256375678566,7,7,1,7,9,10,32,7227966198857827,True,1,False
10000,5,10004,100,881592056001016552563756785667,2,2,1,2,9,10,32,2279661988578279,True,1,False
10000,6,10005,100,815920560010165525637567856672,2,2,1,2,9,10,32,2796619885782794,True,1,False
10000,7,10006,100,159205600101655256375678566722,7,7,1,7,9,10,32,7966198857827948,True,1,False
10000,8,10007,100,592056001016552563756785667227,9,9,1,9,9,10,32,9661988578279484,True,1,False
10000,9,10008,100,920560010165525637567856672279,6,6,1,6,9,10,32,6619885782794848,True,1,False
10000,10,10009,100,205600101655256375678566722796,6,6,1,6,9,10,32,6198857827948488,True,1,False
10000,11,10010,100,056001016552563756785667227966,1,1,1,1,9,10,32,1988578279484885,True,1,False
10000,12,10011,100,560010165525637567856672279661,9,9,1,9,9,10,32,9885782794848855,True,1,False
10000,13,10012,100,600101655256375678566722796619,8,8,1,8,9,10,32,8857827948488558,True,1,False
10000,14,10013,100,001016552563756785667227966198,8,8,1,8,9,10,32,8578279484885583,True,1,False
10000,15,10014,100,010165525637567856672279661988,5,5,1,5,9,10,32,5782794848855834,True,1,False
10000,16,10015,100,101655256375678566722796619885,7,7,1,7,9,10,32,7827948488558343,True,1,False
10000,17,10016,100,016552563756785667227966198857,8,8,1,8,9,10,32,8279484885583439,True,1,False
10000,18,10017,100,165525637567856672279661988578,2,2,1,2,9,10,32,2794848855834397,True,1,False
10000,19,10018,100,655256375678566722796619885782,7,7,1,7,9,10,32,7948488558343975,True,1,False
10000,20,10019,100,552563756785667227966198857827,9,9,1,9,9,10,32,9484885583439751,True,1,False
10000,21,10020,100,525637567856672279661988578279,4,4,1,4,9,10,32,4848855834397518,True,1,False
10000,22,10021,100,256375678566722796619885782794,8,8,1,8,9,10,32,8488558343975187,True,1,False
10000,23,10022,100,563756785667227966198857827948,4,4,1,4,9,10,32,4885583439751874,True,1,False
10000,24,10023,100,637567856672279661988578279484,8,8,1,8,9,10,32,8855834397518744,True,1,False
10000,25,10024,100,375678566722796619885782794848,8,8,1,8,9,10,32,8558343975187445,True,1,False
10000,26,10025,100,756785667227966198857827948488,5,5,1,5,9,10,32,5583439751874454,True,1,False
10000,27,10026,100,567856672279661988578279484885,5,5,1,5,9,10,32,5834397518744545,True,1,False
10000,28,10027,100,678566722796619885782794848855,8,8,1,8,9,10,32,8343975187445455,True,1,False
10000,29,10028,100,785667227966198857827948488558,3,3,1,3,9,10,32,3439751874454551,True,1,False
10000,30,10029,100,856672279661988578279484885583,4,4,1,4,9,10,32,4397518744545512,True,1,False
10000,31,10030,100,566722796619885782794848855834,3,3,1,3,9,10,32,3975187445455129,True,1,False
10000,32,10031,100,667227966198857827948488558343,9,9,1,9,9,10,32,9751874454551296,True,1,False
10000,33,10032,100,672279661988578279484885583439,7,7,1,7,9,10,32,7518744545512965,True,1,False
10000,34,10033,100,722796619885782794848855834397,5,5,1,5,9,10,32,5187445455129656,True,1,False
10000,35,10034,100,227966198857827948488558343975,1,1,1,1,9,10,32,1874454551296563,True,1,False
10000,36,10035,100,279661988578279484885583439751,8,8,1,8,9,10,32,8744545512965634,True,1,False
10000,37,10036,100,796619885782794848855834397518,7,7,1,7,9,10,32,7445455129656344,True,1,False
10000,38,10037,100,966198857827948488558343975187,4,4,1,4,9,10,32,4454551296563443,True,1,False
10000,39,10038,100,661988578279484885583439751874,4,4,1,4,9,10,32,4545512965634434,True,1,False
10000,40,10039,100,619885782794848855834397518744,5,5,1,5,9,10,32,5455129656344348,True,1,False
10000,41,10040,100,198857827948488558343975187445,4,4,1,4,9,10,32,4551296563443480,True,1,False
10000,42,10041,100,988578279484885583439751874454,5,5,1,5,9,10,32,5512965634434803,True,1,False
10000,43,10042,100,885782794848855834397518744545,5,5,1,5,9,10,32,5129656344348039,True,1,False
10000,44,10043,100,857827948488558343975187445455,1,1,1,1,9,10,32,1296563443480396,True,1,False
10000,45,10044,100,578279484885583439751874454551,2,2,1,2,9,10,32,2965634434803966,True,1,False
10000,46,10045,100,782794848855834397518744545512,9,9,1,9,9,10,32,9656344348039664,True,1,False
10000,47,10046,100,827948488558343975187445455129,6,6,1,6,9,10,32,6563443480396642,True,1,False
10000,48,10047,100,279484885583439751874454551296,5,5,1,5,9,10,32,5634434803966420,True,1,False
10000,49,10048,100,794848855834397518744545512965,6,6,1,6,9,10,32,6344348039664205,True,1,False
10000,50,10049,100,948488558343975187445455129656,3,3,1,3,9,10,32,3443480396642055,True,1,False
10000,51,10050,100,484885583439751874454551296563,4,4,1,4,9,10,32,4434803966420557,True,1,False
10000,52,10051,100,848855834397518744545512965634,4,4,1,4,9,10,32,4348039664205579,True,1,False
10000,53,10052,100,488558343975187445455129656344,3,3,1,3,9,10,32,3480396642055798,True,1,False
10000,54,10053,100,885583439751874454551296563443,4,4,1,4,9,10,32,4803966420557982,True,1,False
10000,55,10054,100,855834397518744545512965634434,8,8,1,8,9,10,32,8039664205579829,True,1,False
10000,56,10055,100,558343975187445455129656344348,0,0,1,0,9,10,32,0396642055798293,True,1,False
10000,57,10056,100,583439751874454551296563443480,3,3,1,3,9,10,32,3966420557982936,True,1,False
10000,58,10057,100,834397518744545512965634434803,9,9,1,9,9,10,32,9664205579829368,True,1,False
10000,59,10058,100,343975187445455129656344348039,6,6,1,6,9,10,32,6642055798293680,True,1,False
10000,60,10059,100,439751874454551296563443480396,6,6,1,6,9,10,32,6420557982936804,True,1,False
10000,61,10060,100,397518744545512965634434803966,4,4,1,4,9,10,32,4205579829368043,True,1,False
10000,62,10061,100,975187445455129656344348039664,2,2,1,2,9,10,32,2055798293680435,True,1,False
10000,63,10062,100,751874454551296563443480396642,0,0,1,0,9,10,32,0557982936804352,True,1,False
10000,64,10063,100,518744545512965634434803966420,5,5,1,5,9,10,32,5579829368043522,True,1,False
10000,65,10064,100,187445455129656344348039664205,5,5,1,5,9,10,32,5798293680435220,True,1,False
10000,66,10065,100,874454551296563443480396642055,7,7,1,7,9,10,32,7982936804352202,True,1,False
10000,67,10066,100,744545512965634434803966420557,9,9,1,9,9,10,32,9829368043522027,True,1,False
10000,68,10067,100,445455129656344348039664205579,8,8,1,8,9,10,32,8293680435220277,True,1,False
10000,69,10068,100,454551296563443480396642055798,2,2,1,2,9,10,32,2936804352202770,True,1,False
10000,70,10069,100,545512965634434803966420557982,9,9,1,9,9,10,32,9368043522027709,True,1,False
10000,71,10070,100,455129656344348039664205579829,3,3,1,3,9,10,32,3680435220277098,True,1,False
10000,72,10071,100,551296563443480396642055798293,6,6,1,6,9,10,32,6804352202770984,True,1,False
10000,73,10072,100,512965634434803966420557982936,8,8,1,8,9,10,32,8043522027709842,True,1,False
10000,74,10073,100,129656344348039664205579829368,0,0,1,0,9,10,32,0435220277098429,True,1,False
10000,75,10074,100,296563443480396642055798293680,4,4,1,4,9,10,32,4352202770984294,True,1,False
10000,76,10075,100,965634434803966420557982936804,3,3,1,3,9,10,32,3522027709842942,True,1,False
10000,77,10076,100,656344348039664205579829368043,5,5,1,5,9,10,32,5220277098429423,True,1,False
10000,78,10077,100,563443480396642055798293680435,2,2,1,2,9,10,32,2202770984294232,True,1,False
10000,79,10078,100,634434803966420557982936804352,2,2,1,2,9,10,32,2027709842942325,True,1,False
10000,80,10079,100,344348039664205579829368043522,0,0,1,0,9,10,32,0277098429423253,True,1,False
10000,81,10080,100,443480396642055798293680435220,2,2,1,2,9,10,32,2770984294232533,True,1,False
10000,82,10081,100,434803966420557982936804352202,7,7,1,7,9,10,32,7709842942325330,True,1,False
10000,83,10082,100,348039664205579829368043522027,7,7,1,7,9,10,32,7098429423253302,True,1,False
10000,84,10083,100,480396642055798293680435220277,0,0,1,0,9,10,32,0984294232533022,True,1,False
10000,85,10084,100,803966420557982936804352202770,9,9,1,9,9,10,32,9842942325330225,True,1,False
10000,86,10085,100,039664205579829368043522027709,8,8,1,8,9,10,32,8429423253302257,True,1,False
10000,87,10086,100,396642055798293680435220277098,4,4,1,4,9,10,32,4294232533022576,True,1,False
10000,88,10087,100,966420557982936804352202770984,2,2,1,2,9,10,32,2942325330225763,True,1,False
10000,89,10088,100,664205579829368043522027709842,9,9,1,9,9,10,32,9423253302257634,True,1,False
10000,90,10089,100,642055798293680435220277098429,4,4,1,4,9,10,32,4232533022576341,True,1,False
10000,91,10090,100,420557982936804352202770984294,2,2,1,2,9,10,32,2325330225763418,True,1,False
10000,92,10091,100,205579829368043522027709842942,3,3,1,3,9,10,32,3253302257634180,True,1,False
10000,93,10092,100,055798293680435220277098429423,2,2,1,2,9,10,32,2533022576341807,True,1,False
10000,94,10093,100,557982936804352202770984294232,5,5,1,5,9,10,32,5330225763418070,True,1,False
10000,95,10094,100,579829368043522027709842942325,3,3,1,3,9,10,32,3302257634180703,True,1,False
10000,96,10095,100,798293680435220277098429423253,3,3,1,3,9,10,32,3022576341807039,True,1,False
10000,97,10096,100,982936804352202770984294232533,0,0,1,0,9,10,32,0225763418070394,True,1,False
10000,98,10097,100,829368043522027709842942325330,2,2,1,2,9,10,32,2257634180703947,True,1,False
10000,99,10098,100,293680435220277098429423253302,2,2,1,2,9,10,32,2576341807039476,True,1,False
10000,100,10099,100,936804352202770984294232533022,5,5,1,5,9,10,32,5763418070394769,True,1,False
50000,1,50000,100,112718106910522900246574236041,3,3,1,3,9,10,32,3009369188925586,True,1,False
50000,2,50001,100,127181069105229002465742360413,0,0,1,0,9,10,32,0093691889255865,True,1,False
50000,3,50002,100,271810691052290024657423604130,0,0,1,0,9,10,32,0936918892558657,True,1,False
50000,4,50003,100,718106910522900246574236041300,9,9,1,9,9,10,32,9369188925586578,True,1,False
50000,5,50004,100,181069105229002465742360413009,3,3,1,3,9,10,32,3691889255865784,True,1,False
50000,6,50005,100,810691052290024657423604130093,6,6,1,6,9,10,32,6918892558657846,True,1,False
50000,7,50006,100,106910522900246574236041300936,9,9,1,9,9,10,32,9188925586578466,True,1,False
50000,8,50007,100,069105229002465742360413009369,1,1,1,1,9,10,32,1889255865784668,True,1,False
50000,9,50008,100,691052290024657423604130093691,8,8,1,8,9,10,32,8892558657846684,True,1,False
50000,10,50009,100,910522900246574236041300936918,8,8,1,8,9,10,32,8925586578466846,True,1,False
50000,11,50010,100,105229002465742360413009369188,9,9,1,9,9,10,32,9255865784668461,True,1,False
50000,12,50011,100,052290024657423604130093691889,2,2,1,2,9,10,32,2558657846684612,True,1,False
50000,13,50012,100,522900246574236041300936918892,5,5,1,5,9,10,32,5586578466846121,True,1,False
50000,14,50013,100,229002465742360413009369188925,5,5,1,5,9,10,32,5865784668461215,True,1,False
50000,15,50014,100,290024657423604130093691889255,8,8,1,8,9,10,32,8657846684612156,True,1,False
50000,16,50015,100,900246574236041300936918892558,6,6,1,6,9,10,32,6578466846121567,True,1,False
50000,17,50016,100,002465742360413009369188925586,5,5,1,5,9,10,32,5784668461215679,True,1,False
50000,18,50017,100,024657423604130093691889255865,7,7,1,7,9,10,32,7846684612156795,True,1,False
50000,19,50018,100,246574236041300936918892558657,8,8,1,8,9,10,32,8466846121567955,True,1,False
50000,20,50019,100,465742360413009369188925586578,4,4,1,4,9,10,32,4668461215679554,True,1,False
50000,21,50020,100,657423604130093691889255865784,6,6,1,6,9,10,32,6684612156795542,True,1,False
50000,22,50021,100,574236041300936918892558657846,6,6,1,6,9,10,32,6846121567955425,True,1,False
50000,23,50022,100,742360413009369188925586578466,8,8,1,8,9,10,32,8461215679554256,True,1,False
