cutoff_H,candidate_digit,negative_tail_alignment,candidate_suffix,note
10000,0,True,1592056001016552563756780,negative alignment alone cannot choose the next digit
10000,1,True,1592056001016552563756781,negative alignment alone cannot choose the next digit
10000,2,True,1592056001016552563756782,negative alignment alone cannot choose the next digit
10000,3,True,1592056001016552563756783,negative alignment alone cannot choose the next digit
10000,4,True,1592056001016552563756784,negative alignment alone cannot choose the next digit
10000,5,True,1592056001016552563756785,negative alignment alone cannot choose the next digit
10000,6,True,1592056001016552563756786,negative alignment alone cannot choose the next digit
10000,7,True,1592056001016552563756787,negative alignment alone cannot choose the next digit
10000,8,True,1592056001016552563756788,negative alignment alone cannot choose the next digit
10000,9,True,1592056001016552563756789,negative alignment alone cannot choose the next digit
50000,0,True,1069105229002465742360410,negative alignment alone cannot choose the next digit
50000,1,True,1069105229002465742360411,negative alignment alone cannot choose the next digit
50000,2,True,1069105229002465742360412,negative alignment alone cannot choose the next digit
50000,3,True,1069105229002465742360413,negative alignment alone cannot choose the next digit
50000,4,True,1069105229002465742360414,negative alignment alone cannot choose the next digit
50000,5,True,1069105229002465742360415,negative alignment alone cannot choose the next digit
50000,6,True,1069105229002465742360416,negative alignment alone cannot choose the next digit
50000,7,True,1069105229002465742360417,negative alignment alone cannot choose the next digit
50000,8,True,1069105229002465742360418,negative alignment alone cannot choose the next digit
50000,9,True,1069105229002465742360419,negative alignment alone cannot choose the next digit
100000,0,True,9137674208056554936246460,negative alignment alone cannot choose the next digit
100000,1,True,9137674208056554936246461,negative alignment alone cannot choose the next digit
100000,2,True,9137674208056554936246462,negative alignment alone cannot choose the next digit
100000,3,True,9137674208056554936246463,negative alignment alone cannot choose the next digit
100000,4,True,9137674208056554936246464,negative alignment alone cannot choose the next digit
100000,5,True,9137674208056554936246465,negative alignment alone cannot choose the next digit
100000,6,True,9137674208056554936246466,negative alignment alone cannot choose the next digit
100000,7,True,9137674208056554936246467,negative alignment alone cannot choose the next digit
100000,8,True,9137674208056554936246468,negative alignment alone cannot choose the next digit
100000,9,True,9137674208056554936246469,negative alignment alone cannot choose the next digit
500000,0,True,2907404248760251381952420,negative alignment alone cannot choose the next digit
500000,1,True,2907404248760251381952421,negative alignment alone cannot choose the next digit
500000,2,True,2907404248760251381952422,negative alignment alone cannot choose the next digit
500000,3,True,2907404248760251381952423,negative alignment alone cannot choose the next digit
500000,4,True,2907404248760251381952424,negative alignment alone cannot choose the next digit
500000,5,True,2907404248760251381952425,negative alignment alone cannot choose the next digit
500000,6,True,2907404248760251381952426,negative alignment alone cannot choose the next digit
500000,7,True,2907404248760251381952427,negative alignment alone cannot choose the next digit
500000,8,True,2907404248760251381952428,negative alignment alone cannot choose the next digit
500000,9,True,2907404248760251381952429,negative alignment alone cannot choose the next digit
1000000,0,True,4604220901061057794581510,negative alignment alone cannot choose the next digit
1000000,1,True,4604220901061057794581511,negative alignment alone cannot choose the next digit
1000000,2,True,4604220901061057794581512,negative alignment alone cannot choose the next digit
1000000,3,True,4604220901061057794581513,negative alignment alone cannot choose the next digit
1000000,4,True,4604220901061057794581514,negative alignment alone cannot choose the next digit
1000000,5,True,4604220901061057794581515,negative alignment alone cannot choose the next digit
1000000,6,True,4604220901061057794581516,negative alignment alone cannot choose the next digit
1000000,7,True,4604220901061057794581517,negative alignment alone cannot choose the next digit
1000000,8,True,4604220901061057794581518,negative alignment alone cannot choose the next digit
1000000,9,True,4604220901061057794581519,negative alignment alone cannot choose the next digit
1500000,0,True,1173196077379919144622950,negative alignment alone cannot choose the next digit
1500000,1,True,1173196077379919144622951,negative alignment alone cannot choose the next digit
1500000,2,True,1173196077379919144622952,negative alignment alone cannot choose the next digit
1500000,3,True,1173196077379919144622953,negative alignment alone cannot choose the next digit
1500000,4,True,1173196077379919144622954,negative alignment alone cannot choose the next digit
1500000,5,True,1173196077379919144622955,negative alignment alone cannot choose the next digit
1500000,6,True,1173196077379919144622956,negative alignment alone cannot choose the next digit
1500000,7,True,1173196077379919144622957,negative alignment alone cannot choose the next digit
1500000,8,True,1173196077379919144622958,negative alignment alone cannot choose the next digit
1500000,9,True,1173196077379919144622959,negative alignment alone cannot choose the next digit
