H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
10000,9901,99,1,4,167,0,167,161,959688159205600101655256375678,5,64560016237428802109...56001016552563756785,101,1,10,1,5,True,False,5,5,5,5
50000,49901,99,1,4,167,0,167,161,112718106910522900246574236041,3,58405229536937499710...05229002465742360413,101,2,10,2,,False,True,2,3,2,3
100000,99901,99,1,4,167,0,167,161,712790913767420805655493624646,4,57501636341131462753...74208056554936246464,101,1,10,1,4,True,False,4,4,4,4
500000,499901,99,1,4,167,0,167,161,193325290740424876025138195242,6,34165237031653070432...04248760251381952426,101,1,10,1,6,True,False,6,6,6,6
1000000,999901,99,1,4,167,0,167,161,996346460422090106105779458151,3,31561403332127284919...20901061057794581513,101,1,10,1,3,True,False,3,3,3,3
1500000,1499901,99,1,4,167,0,167,161,794715117319607737991914462295,2,29754421710582590927...96077379919144622952,101,1,10,1,2,True,False,2,2,2,2
10000,9901,99,1,4,167,2,169,162,959688159205600101655256375678,5,64560016237428802109...56001016552563756785,102,1,10,1,5,True,False,5,5,5,5
50000,49901,99,1,4,167,2,169,162,112718106910522900246574236041,3,58405229536937499710...05229002465742360413,102,2,10,2,,False,True,2,3,2,3
100000,99901,99,1,4,167,2,169,162,712790913767420805655493624646,4,57501636341131462753...74208056554936246464,102,1,10,1,4,True,False,4,4,4,4
500000,499901,99,1,4,167,2,169,162,193325290740424876025138195242,6,34165237031653070432...04248760251381952426,102,1,10,1,6,True,False,6,6,6,6
1000000,999901,99,1,4,167,2,169,162,996346460422090106105779458151,3,31561403332127284919...20901061057794581513,102,1,10,1,3,True,False,3,3,3,3
1500000,1499901,99,1,4,167,2,169,162,794715117319607737991914462295,2,29754421710582590927...96077379919144622952,102,1,10,1,2,True,False,2,2,2,2
10000,9901,99,1,4,167,8,175,166,959688159205600101655256375678,5,64560016237428802109...56001016552563756785,106,1,10,1,5,True,False,5,5,5,5
50000,49901,99,1,4,167,8,175,166,112718106910522900246574236041,3,58405229536937499710...05229002465742360413,106,1,10,1,3,True,False,3,3,3,3
100000,99901,99,1,4,167,8,175,166,712790913767420805655493624646,4,57501636341131462753...74208056554936246464,106,1,10,1,4,True,False,4,4,4,4
500000,499901,99,1,4,167,8,175,166,193325290740424876025138195242,6,34165237031653070432...04248760251381952426,105,1,10,1,6,True,False,6,6,6,6
1000000,999901,99,1,4,167,8,175,166,996346460422090106105779458151,3,31561403332127284919...20901061057794581513,105,1,10,1,3,True,False,3,3,3,3
1500000,1499901,99,1,4,167,8,175,166,794715117319607737991914462295,2,29754421710582590927...96077379919144622952,105,1,10,1,2,True,False,2,2,2,2
10000,9900,100,1,4,168,0,168,162,959688159205600101655256375678,5,26456001623742880210...56001016552563756785,101,2,10,2,,False,True,5,6,5,6
50000,49900,100,1,4,168,0,168,162,112718106910522900246574236041,3,15840522953693749971...05229002465742360413,101,2,10,2,,False,True,2,3,2,3
100000,99900,100,1,4,168,0,168,162,712790913767420805655493624646,4,85750163634113146275...74208056554936246464,102,1,10,1,4,True,False,4,4,4,4
500000,499900,100,1,4,168,0,168,162,193325290740424876025138195242,6,53416523703165307043...04248760251381952426,101,2,10,2,,False,True,6,7,6,7
1000000,999900,100,1,4,168,0,168,162,996346460422090106105779458151,3,03156140333212728491...20901061057794581513,100,2,10,2,,False,True,2,3,2,3
1500000,1499900,100,1,4,168,0,168,162,794715117319607737991914462295,2,12975442171058259092...96077379919144622952,101,2,10,2,,False,True,1,2,1,2
10000,9900,100,1,4,168,2,170,163,959688159205600101655256375678,5,26456001623742880210...56001016552563756785,102,1,10,1,5,True,False,5,5,5,5
50000,49900,100,1,4,168,2,170,163,112718106910522900246574236041,3,15840522953693749971...05229002465742360413,102,1,10,1,3,True,False,3,3,3,3
100000,99900,100,1,4,168,2,170,163,712790913767420805655493624646,4,85750163634113146275...74208056554936246464,103,1,10,1,4,True,False,4,4,4,4
