H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
10000,9901,99,1,4,167,0,167,161,959688159205600101655256375678,5,64560016237428802109...56001016552563756785,101,1,10,1,5,True,False,5,5,5,5
12953,12854,99,1,4,167,0,167,161,210259417375623899420757136275,1,45222681268872684459...56238994207571362751,101,1,10,1,1,True,False,1,1,1,1
13584,13485,99,1,4,167,0,167,161,669134522244470804592396602817,1,42940266829738652209...44708045923966028171,101,1,10,1,1,True,False,1,1,1,1
21165,21066,99,1,4,167,0,167,161,177601733073855475800605601433,7,59554028644059024964...38554758006056014337,101,2,10,2,,False,True,7,8,7,8
23743,23644,99,1,4,167,0,167,161,875571049729011487171897180046,9,31039357860689611125...90114871718971800469,101,1,10,1,9,True,False,9,9,9,9
37545,37446,99,1,4,167,0,167,161,956119201229888988700607999279,5,05539189911513352522...98889887006079992795,100,1,10,1,5,True,False,5,5,5,5
39151,39052,99,1,4,167,0,167,161,044880834261845208730530973189,4,34423173226463784769...18452087305309731894,101,2,10,2,,False,True,4,5,4,5
43845,43746,99,1,4,167,0,167,161,644604170520447004631513797543,1,15674775666760510878...04470046315137975431,100,1,10,1,1,True,False,1,1,1,1
50000,49901,99,1,4,167,0,167,161,112718106910522900246574236041,3,58405229536937499710...05229002465742360413,101,2,10,2,,False,True,2,3,2,3
55747,55648,99,1,4,167,0,167,161,119734709402357457222271212526,8,89762933532585557562...23574572222712125268,101,1,10,1,8,True,False,8,8,8,8
86388,86289,99,1,4,167,0,167,161,010286065785859126997463766174,1,81613469018069650895...58591269974637661741,101,1,10,1,1,True,False,1,1,1,1
93608,93509,99,1,4,167,0,167,161,352228334301379533729540162576,2,56138692363443358553...13795337295401625762,101,1,10,1,2,True,False,2,2,2,2
100000,99901,99,1,4,167,0,167,161,712790913767420805655493624646,4,57501636341131462753...74208056554936246464,101,1,10,1,4,True,False,4,4,4,4
107517,107418,99,1,4,167,0,167,161,448993947541474608339918696889,2,48678013461821787593...14746083399186968892,101,1,10,1,2,True,False,2,2,2,2
120851,120752,99,1,4,167,0,167,161,779565892055456243429798279413,4,58088312412428828763...54562434297982794134,101,2,10,2,,False,True,4,5,4,5
151892,151793,99,1,4,167,0,167,161,240198813494984438436763827041,1,53209783265292168258...49844384367638270411,101,1,10,1,1,True,False,1,1,1,1
191297,191198,99,1,4,167,0,167,161,620117181006104722585841850028,6,33326470891561955522...61047225858418500286,101,1,10,1,6,True,False,6,6,6,6
198273,198174,99,1,4,167,0,167,161,974450829108449142753286512578,8,21431310565114032165...84491427532865125788,100,1,10,1,8,True,False,8,8,8,8
212329,212230,99,1,4,167,0,167,161,775066750394884663677721467921,1,70808243016916661770...48846636777214679211,101,1,10,1,1,True,False,1,1,1,1
251839,251740,99,1,4,167,0,167,161,546447861792435817101125518513,1,90345410532502054955...24358171011255185131,101,1,10,1,1,True,False,1,1,1,1
257948,257849,99,1,4,167,0,167,161,075908103313306591475749539436,5,39411720861353588405...33065914757495394365,101,1,10,1,5,True,False,5,5,5,5
266404,266305,99,1,4,167,0,167,161,725499842854841956681924545197,4,13810106667342459156...48419566819245451974,100,1,10,1,4,True,False,4,4,4,4
