H,Q,offset,candidate_digit,candidate_A_minus_prefix,q_certificate_decimal_range_contains_candidate,selected_by_prefix_intersection,true_digit,is_true
10000,4,0,0,0,False,False,5,False
10000,4,0,1,1,False,False,5,False
10000,4,0,2,2,False,False,5,False
10000,4,0,3,3,False,False,5,False
10000,4,0,4,4,False,False,5,False
10000,4,0,5,5,True,False,5,True
10000,4,0,6,6,True,False,5,False
10000,4,0,7,7,False,False,5,False
10000,4,0,8,8,False,False,5,False
10000,4,0,9,9,False,False,5,False
10000,4,1,0,0,False,False,5,False
10000,4,1,1,1,False,False,5,False
10000,4,1,2,2,False,False,5,False
10000,4,1,3,3,False,False,5,False
10000,4,1,4,4,False,False,5,False
10000,4,1,5,5,True,True,5,True
10000,4,1,6,6,False,False,5,False
10000,4,1,7,7,False,False,5,False
10000,4,1,8,8,False,False,5,False
10000,4,1,9,9,False,False,5,False
10000,4,2,0,0,False,False,5,False
10000,4,2,1,1,False,False,5,False
10000,4,2,2,2,False,False,5,False
10000,4,2,3,3,False,False,5,False
10000,4,2,4,4,False,False,5,False
10000,4,2,5,5,True,True,5,True
10000,4,2,6,6,False,False,5,False
10000,4,2,7,7,False,False,5,False
10000,4,2,8,8,False,False,5,False
10000,4,2,9,9,False,False,5,False
10000,4,4,0,0,False,False,5,False
10000,4,4,1,1,False,False,5,False
10000,4,4,2,2,False,False,5,False
10000,4,4,3,3,False,False,5,False
10000,4,4,4,4,False,False,5,False
10000,4,4,5,5,True,True,5,True
10000,4,4,6,6,False,False,5,False
10000,4,4,7,7,False,False,5,False
10000,4,4,8,8,False,False,5,False
10000,4,4,9,9,False,False,5,False
10000,4,8,0,0,False,False,5,False
10000,4,8,1,1,False,False,5,False
10000,4,8,2,2,False,False,5,False
10000,4,8,3,3,False,False,5,False
10000,4,8,4,4,False,False,5,False
10000,4,8,5,5,True,True,5,True
10000,4,8,6,6,False,False,5,False
10000,4,8,7,7,False,False,5,False
10000,4,8,8,8,False,False,5,False
10000,4,8,9,9,False,False,5,False
10000,16,0,0,0,False,False,5,False
10000,16,0,1,1,False,False,5,False
10000,16,0,2,2,False,False,5,False
10000,16,0,3,3,False,False,5,False
10000,16,0,4,4,False,False,5,False
10000,16,0,5,5,True,False,5,True
10000,16,0,6,6,True,False,5,False
10000,16,0,7,7,False,False,5,False
10000,16,0,8,8,False,False,5,False
10000,16,0,9,9,False,False,5,False
10000,16,1,0,0,False,False,5,False
10000,16,1,1,1,False,False,5,False
10000,16,1,2,2,False,False,5,False
10000,16,1,3,3,False,False,5,False
10000,16,1,4,4,False,False,5,False
10000,16,1,5,5,True,True,5,True
10000,16,1,6,6,False,False,5,False
10000,16,1,7,7,False,False,5,False
10000,16,1,8,8,False,False,5,False
10000,16,1,9,9,False,False,5,False
10000,16,2,0,0,False,False,5,False
10000,16,2,1,1,False,False,5,False
10000,16,2,2,2,False,False,5,False
