H_boundary,start_M,known_n,hidden_k,Q_cert,offset,D_total_decimal_depth,L_min,L_cert,decimal_digits_used_for_cert,known_prefix_tail_preview,true_hidden,recovered_hidden,success,ambiguous,candidate_count,surviving_digits_if_k1,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,q_cell_decimal_digits
10000,9980,20,1,4,0,21,35,35,112,05600101655256375678,5,,False,True,2,45,4,5,4,5,20
10000,9980,20,1,4,1,21,35,36,112,05600101655256375678,5,5,True,False,1,5,5,5,5,5,21
10000,9980,20,1,4,2,21,35,37,113,05600101655256375678,5,5,True,False,1,5,5,5,5,5,22
10000,9980,20,1,4,4,21,35,39,114,05600101655256375678,5,5,True,False,1,5,5,5,5,5,23
10000,9980,20,1,16,0,21,18,18,112,05600101655256375678,5,5,True,False,1,5,5,5,5,5,21
10000,9980,20,1,16,1,21,18,19,113,05600101655256375678,5,5,True,False,1,5,5,5,5,5,22
10000,9980,20,1,16,2,21,18,20,115,05600101655256375678,5,5,True,False,1,5,5,5,5,5,23
10000,9980,20,1,16,4,21,18,22,117,05600101655256375678,5,5,True,False,1,5,5,5,5,5,26
50000,49980,20,1,4,0,21,35,35,112,10522900246574236041,3,,False,True,2,23,2,3,2,3,21
50000,49980,20,1,4,1,21,35,36,112,10522900246574236041,3,,False,True,2,23,2,3,2,3,21
50000,49980,20,1,4,2,21,35,37,113,10522900246574236041,3,,False,True,2,23,2,3,2,3,22
50000,49980,20,1,4,4,21,35,39,114,10522900246574236041,3,3,True,False,1,3,3,3,3,3,23
50000,49980,20,1,16,0,21,18,18,112,10522900246574236041,3,,False,True,2,23,2,3,2,3,21
50000,49980,20,1,16,1,21,18,19,113,10522900246574236041,3,,False,True,2,23,2,3,2,3,22
50000,49980,20,1,16,2,21,18,20,115,10522900246574236041,3,3,True,False,1,3,3,3,3,3,24
50000,49980,20,1,16,4,21,18,22,117,10522900246574236041,3,3,True,False,1,3,3,3,3,3,26
100000,99980,20,1,4,0,21,35,35,112,67420805655493624646,4,,False,True,2,34,3,4,3,4,21
100000,99980,20,1,4,1,21,35,36,112,67420805655493624646,4,4,True,False,1,4,4,4,4,4,22
100000,99980,20,1,4,2,21,35,37,113,67420805655493624646,4,4,True,False,1,4,4,4,4,4,23
100000,99980,20,1,4,4,21,35,39,114,67420805655493624646,4,4,True,False,1,4,4,4,4,4,24
100000,99980,20,1,16,0,21,18,18,112,67420805655493624646,4,4,True,False,1,4,4,4,4,4,22
100000,99980,20,1,16,1,21,18,19,113,67420805655493624646,4,4,True,False,1,4,4,4,4,4,23
100000,99980,20,1,16,2,21,18,20,115,67420805655493624646,4,4,True,False,1,4,4,4,4,4,24
100000,99980,20,1,16,4,21,18,22,117,67420805655493624646,4,4,True,False,1,4,4,4,4,4,27
500000,499980,20,1,4,0,21,35,35,112,40424876025138195242,6,,False,True,2,67,6,7,6,7,21
500000,499980,20,1,4,1,21,35,36,112,40424876025138195242,6,,False,True,2,67,6,7,6,7,22
500000,499980,20,1,4,2,21,35,37,113,40424876025138195242,6,,False,True,2,67,6,7,6,7,22
500000,499980,20,1,4,4,21,35,39,114,40424876025138195242,6,6,True,False,1,6,6,6,6,6,24
