known_n,hidden_k,Q_cert,offset,trials,success_rate,ambiguous_rate,mean_candidates,median_candidates,p95_candidates,max_candidates
100,1,2,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,2,1,256,0.68359375,0.31640625,1.31640625,1.0,2.0,2
100,1,2,2,256,0.83203125,0.16796875,1.16796875,1.0,2.0,2
100,1,2,4,256,0.9609375,0.0390625,1.0390625,1.0,1.0,2
100,1,2,8,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,4,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,4,1,256,0.83203125,0.16796875,1.16796875,1.0,2.0,2
100,1,4,2,256,0.9609375,0.0390625,1.0390625,1.0,1.0,2
100,1,4,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,4,8,256,1.0,0.0,1.0,1.0,1.0,1
100,1,8,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,8,1,256,0.921875,0.078125,1.078125,1.0,2.0,2
100,1,8,2,256,0.98046875,0.01953125,1.01953125,1.0,1.0,2
100,1,8,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,8,8,256,1.0,0.0,1.0,1.0,1.0,1
100,1,16,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,16,1,256,0.9609375,0.0390625,1.0390625,1.0,1.0,2
100,1,16,2,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,16,4,256,1.0,0.0,1.0,1.0,1.0,1
100,1,16,8,256,1.0,0.0,1.0,1.0,1.0,1
