known_n,hidden_k,Q_cert,offset,trials,success_rate,ambiguous_rate,mean_candidates,median_candidates,p95_candidates,max_candidates
20,1,2,0,256,0.2734375,0.7265625,1.7265625,2.0,2.0,2
20,1,2,1,256,0.6015625,0.3984375,1.3984375,1.0,2.0,2
20,1,2,2,256,0.80078125,0.19921875,1.19921875,1.0,2.0,2
20,1,2,4,256,0.953125,0.046875,1.046875,1.0,1.0,2
20,1,2,8,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
20,1,4,0,256,0.2734375,0.7265625,1.7265625,2.0,2.0,2
20,1,4,1,256,0.80078125,0.19921875,1.19921875,1.0,2.0,2
20,1,4,2,256,0.953125,0.046875,1.046875,1.0,1.0,2
20,1,4,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
20,1,4,8,256,1.0,0.0,1.0,1.0,1.0,1
20,1,8,0,256,0.80078125,0.19921875,1.19921875,1.0,2.0,2
20,1,8,1,256,0.9609375,0.0390625,1.0390625,1.0,1.0,2
20,1,8,2,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
20,1,8,4,256,1.0,0.0,1.0,1.0,1.0,1
20,1,8,8,256,1.0,0.0,1.0,1.0,1.0,1
20,1,16,0,256,0.80078125,0.19921875,1.19921875,1.0,2.0,2
20,1,16,1,256,0.9765625,0.0234375,1.0234375,1.0,1.0,2
20,1,16,2,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
20,1,16,4,256,1.0,0.0,1.0,1.0,1.0,1
20,1,16,8,256,1.0,0.0,1.0,1.0,1.0,1
50,1,2,0,256,0.421875,0.578125,1.578125,2.0,2.0,2
50,1,2,1,256,0.671875,0.328125,1.328125,1.0,2.0,2
50,1,2,2,256,0.85546875,0.14453125,1.14453125,1.0,2.0,2
50,1,2,4,256,0.9453125,0.0546875,1.0546875,1.0,2.0,2
50,1,2,8,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
50,1,4,0,256,0.421875,0.578125,1.578125,2.0,2.0,2
50,1,4,1,256,0.85546875,0.14453125,1.14453125,1.0,2.0,2
50,1,4,2,256,0.9453125,0.0546875,1.0546875,1.0,2.0,2
50,1,4,4,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
50,1,4,8,256,1.0,0.0,1.0,1.0,1.0,1
50,1,8,0,256,0.671875,0.328125,1.328125,1.0,2.0,2
50,1,8,1,256,0.9453125,0.0546875,1.0546875,1.0,2.0,2
50,1,8,2,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
50,1,8,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
50,1,8,8,256,1.0,0.0,1.0,1.0,1.0,1
50,1,16,0,256,0.85546875,0.14453125,1.14453125,1.0,2.0,2
50,1,16,1,256,0.984375,0.015625,1.015625,1.0,1.0,2
50,1,16,2,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
50,1,16,4,256,1.0,0.0,1.0,1.0,1.0,1
50,1,16,8,256,1.0,0.0,1.0,1.0,1.0,1
99,1,2,0,256,0.50390625,0.49609375,1.49609375,1.0,2.0,2
99,1,2,1,256,0.75,0.25,1.25,1.0,2.0,2
99,1,2,2,256,0.890625,0.109375,1.109375,1.0,2.0,2
99,1,2,4,256,0.95703125,0.04296875,1.04296875,1.0,1.0,2
99,1,2,8,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
99,1,4,0,256,0.75,0.25,1.25,1.0,2.0,2
99,1,4,1,256,0.94140625,0.05859375,1.05859375,1.0,2.0,2
99,1,4,2,256,0.9765625,0.0234375,1.0234375,1.0,1.0,2
99,1,4,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
99,1,4,8,256,1.0,0.0,1.0,1.0,1.0,1
99,1,8,0,256,0.50390625,0.49609375,1.49609375,1.0,2.0,2
99,1,8,1,256,0.94140625,0.05859375,1.05859375,1.0,2.0,2
99,1,8,2,256,0.984375,0.015625,1.015625,1.0,1.0,2
99,1,8,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
99,1,8,8,256,1.0,0.0,1.0,1.0,1.0,1
99,1,16,0,256,0.94140625,0.05859375,1.05859375,1.0,2.0,2
99,1,16,1,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
99,1,16,2,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
99,1,16,4,256,1.0,0.0,1.0,1.0,1.0,1
99,1,16,8,256,1.0,0.0,1.0,1.0,1.0,1
100,1,2,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,2,1,256,0.68359375,0.31640625,1.31640625,1.0,2.0,2
100,1,2,2,256,0.83203125,0.16796875,1.16796875,1.0,2.0,2
100,1,2,4,256,0.9609375,0.0390625,1.0390625,1.0,1.0,2
100,1,2,8,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,4,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,4,1,256,0.83203125,0.16796875,1.16796875,1.0,2.0,2
100,1,4,2,256,0.9609375,0.0390625,1.0390625,1.0,1.0,2
100,1,4,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,4,8,256,1.0,0.0,1.0,1.0,1.0,1
100,1,8,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,8,1,256,0.921875,0.078125,1.078125,1.0,2.0,2
100,1,8,2,256,0.98046875,0.01953125,1.01953125,1.0,1.0,2
100,1,8,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,8,8,256,1.0,0.0,1.0,1.0,1.0,1
100,1,16,0,256,0.3671875,0.6328125,1.6328125,2.0,2.0,2
100,1,16,1,256,0.9609375,0.0390625,1.0390625,1.0,1.0,2
100,1,16,2,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,1,16,4,256,1.0,0.0,1.0,1.0,1.0,1
100,1,16,8,256,1.0,0.0,1.0,1.0,1.0,1
100,5,2,0,256,0.140625,0.859375,1.859375,2.0,2.0,2
100,5,2,1,256,0.5625,0.4375,1.4375,1.0,2.0,2
100,5,2,2,256,0.73828125,0.26171875,1.26171875,1.0,2.0,2
100,5,2,4,256,0.9375,0.0625,1.0625,1.0,2.0,2
100,5,2,8,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
100,5,4,0,256,0.5625,0.4375,1.4375,1.0,2.0,2
100,5,4,1,256,0.859375,0.140625,1.140625,1.0,2.0,2
100,5,4,2,256,0.96875,0.03125,1.03125,1.0,1.0,2
100,5,4,4,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
100,5,4,8,256,1.0,0.0,1.0,1.0,1.0,1
100,5,8,0,256,0.73828125,0.26171875,1.26171875,1.0,2.0,2
100,5,8,1,256,0.96875,0.03125,1.03125,1.0,1.0,2
100,5,8,2,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
100,5,8,4,256,1.0,0.0,1.0,1.0,1.0,1
100,5,8,8,256,1.0,0.0,1.0,1.0,1.0,1
100,5,16,0,256,0.859375,0.140625,1.140625,1.0,2.0,2
100,5,16,1,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
100,5,16,2,256,1.0,0.0,1.0,1.0,1.0,1
100,5,16,4,256,1.0,0.0,1.0,1.0,1.0,1
100,5,16,8,256,1.0,0.0,1.0,1.0,1.0,1
100,10,2,0,256,0.31640625,0.68359375,1.68359375,2.0,2.0,2
100,10,2,1,256,0.6796875,0.3203125,1.3203125,1.0,2.0,2
100,10,2,2,256,0.84375,0.15625,1.15625,1.0,2.0,2
100,10,2,4,256,0.9453125,0.0546875,1.0546875,1.0,2.0,2
100,10,2,8,256,1.0,0.0,1.0,1.0,1.0,1
100,10,4,0,256,0.31640625,0.68359375,1.68359375,2.0,2.0,2
100,10,4,1,256,0.84375,0.15625,1.15625,1.0,2.0,2
100,10,4,2,256,0.9453125,0.0546875,1.0546875,1.0,2.0,2
100,10,4,4,256,1.0,0.0,1.0,1.0,1.0,1
100,10,4,8,256,1.0,0.0,1.0,1.0,1.0,1
100,10,8,0,256,0.31640625,0.68359375,1.68359375,2.0,2.0,2
100,10,8,1,256,0.90625,0.09375,1.09375,1.0,2.0,2
100,10,8,2,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
100,10,8,4,256,1.0,0.0,1.0,1.0,1.0,1
100,10,8,8,256,1.0,0.0,1.0,1.0,1.0,1
100,10,16,0,256,0.84375,0.15625,1.15625,1.0,2.0,2
100,10,16,1,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
100,10,16,2,256,1.0,0.0,1.0,1.0,1.0,1
100,10,16,4,256,1.0,0.0,1.0,1.0,1.0,1
100,10,16,8,256,1.0,0.0,1.0,1.0,1.0,1
100,50,2,0,256,0.453125,0.546875,1.546875,2.0,2.0,2
100,50,2,1,256,0.74609375,0.25390625,1.25390625,1.0,2.0,2
100,50,2,2,256,0.875,0.125,1.125,1.0,2.0,2
100,50,2,4,256,0.96484375,0.03515625,1.03515625,1.0,1.0,2
100,50,2,8,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
100,50,4,0,256,0.74609375,0.25390625,1.25390625,1.0,2.0,2
100,50,4,1,256,0.92578125,0.07421875,1.07421875,1.0,2.0,2
100,50,4,2,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
100,50,4,4,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,50,4,8,256,1.0,0.0,1.0,1.0,1.0,1
100,50,8,0,256,0.875,0.125,1.125,1.0,2.0,2
100,50,8,1,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
100,50,8,2,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
100,50,8,4,256,1.0,0.0,1.0,1.0,1.0,1
100,50,8,8,256,1.0,0.0,1.0,1.0,1.0,1
100,50,16,0,256,0.74609375,0.25390625,1.25390625,1.0,2.0,2
100,50,16,1,256,0.98828125,0.01171875,1.01171875,1.0,1.0,2
100,50,16,2,256,0.99609375,0.00390625,1.00390625,1.0,1.0,2
100,50,16,4,256,1.0,0.0,1.0,1.0,1.0,1
100,50,16,8,256,1.0,0.0,1.0,1.0,1.0,1
100,100,2,0,256,0.3203125,0.6796875,1.6796875,2.0,2.0,2
100,100,2,1,256,0.6015625,0.3984375,1.3984375,1.0,2.0,2
100,100,2,2,256,0.8046875,0.1953125,1.1953125,1.0,2.0,2
100,100,2,4,256,0.96484375,0.03515625,1.03515625,1.0,1.0,2
100,100,2,8,256,1.0,0.0,1.0,1.0,1.0,1
100,100,4,0,256,0.6015625,0.3984375,1.3984375,1.0,2.0,2
100,100,4,1,256,0.87890625,0.12109375,1.12109375,1.0,2.0,2
100,100,4,2,256,0.9921875,0.0078125,1.0078125,1.0,1.0,2
100,100,4,4,256,1.0,0.0,1.0,1.0,1.0,1
100,100,4,8,256,1.0,0.0,1.0,1.0,1.0,1
100,100,8,0,256,0.6015625,0.3984375,1.3984375,1.0,2.0,2
100,100,8,1,256,0.96484375,0.03515625,1.03515625,1.0,1.0,2
100,100,8,2,256,1.0,0.0,1.0,1.0,1.0,1
100,100,8,4,256,1.0,0.0,1.0,1.0,1.0,1
100,100,8,8,256,1.0,0.0,1.0,1.0,1.0,1
100,100,16,0,256,0.87890625,0.12109375,1.12109375,1.0,2.0,2
100,100,16,1,256,1.0,0.0,1.0,1.0,1.0,1
100,100,16,2,256,1.0,0.0,1.0,1.0,1.0,1
100,100,16,4,256,1.0,0.0,1.0,1.0,1.0,1
100,100,16,8,256,1.0,0.0,1.0,1.0,1.0,1
